Origem,São Paulo - Guarulhos (Km),São Paulo - Guarulhos (Kg),São Paulo - Guarulhos (Hr - Comercial),São Paulo - Guarulhos (Hr - Cargueiro),Recife - Guararapes (Km),Recife - Guararapes (Kg),Recife - Guararapes (Hr - Comercial),Recife - Guararapes (Hr - Cargueiro),Salvador - Dpt. Magalhães (Km),Salvador - Dpt. Magalhães (Kg),Salvador - Dpt. Magalhães (Hr - Comercial),Salvador - Dpt. Magalhães (Hr - Cargueiro),Natal - Gov. Alves (Km),Natal - Gov. Alves (Kg),Natal - Gov. Alves (Hr - Comercial),Natal - Gov. Alves (Hr - Cargueiro),São Luiz - Mar. Cunha (Km),São Luiz - Mar. Cunha (Kg),São Luiz - Mar. Cunha (Hr - Comercial),São Luiz - Mar. Cunha (Hr - Cargueiro),Fortaleza - Martins (Km),Fortaleza - Martins (Kg),Fortaleza - Martins (Hr - Comercial),Fortaleza - Martins (Hr - Cargueiro)
Aeroporto Internacional Henri Coandă (Bucareste),7909,972.807,8.79 ~ 9.30,9.30 ~ 9.89,5837,717.951,6.49 ~ 6.87,6.87 ~ 7.30,6477,796.6709999999999,7.20 ~ 7.62,7.62 ~ 8.10,5620,691.26,6.24 ~ 6.61,6.61 ~ 7.03,5823,716.229,6.47 ~ 6.85,6.85 ~ 7.28,5596,688.308,6.22 ~ 6.58,6.58 ~ 7.00
Aeroporto Humberto Delgado (Lisboa),8154,1002.942,9.06 ~ 9.59,9.59 ~ 10.19,6089,748.947,6.77 ~ 7.16,7.16 ~ 7.61,6726,827.298,7.47 ~ 7.91,7.91 ~ 8.41,5868,721.764,6.52 ~ 6.90,6.90 ~ 7.33,6042,743.1659999999999,6.71 ~ 7.11,7.11 ~ 7.55,5834,717.582,6.48 ~ 6.86,6.86 ~ 7.29
Aeroporto de Ljubljana Jože Pučnik,8355,1027.665,9.28 ~ 9.83,9.83 ~ 10.44,6271,771.333,6.97 ~ 7.38,7.38 ~ 7.84,6915,850.545,7.68 ~ 8.14,8.14 ~ 8.64,6061,745.503,6.73 ~ 7.13,7.13 ~ 7.58,6310,776.13,7.01 ~ 7.42,7.42 ~ 7.89,6059,745.257,6.73 ~ 7.13,7.13 ~ 7.57
Aeroporto Internacional Madre Teresa (Tirana),8742,1075.266,9.71 ~ 10.28,10.28 ~ 10.93,6650,817.9499999999999,7.39 ~ 7.82,7.82 ~ 8.31,7296,897.408,8.11 ~ 8.58,8.58 ~ 9.12,6449,793.227,7.17 ~ 7.59,7.59 ~ 8.06,6745,829.635,7.49 ~ 7.94,7.94 ~ 8.43,6468,795.564,7.19 ~ 7.61,7.61 ~ 8.09
Aeroporto Adolfo Suárez Madrid-Barajas,8743,1075.389,9.71 ~ 10.29,10.29 ~ 10.93,6650,817.9499999999999,7.39 ~ 7.82,7.82 ~ 8.31,7297,897.531,8.11 ~ 8.58,8.58 ~ 9.12,6450,793.35,7.17 ~ 7.59,7.59 ~ 8.06,6745,829.635,7.49 ~ 7.94,7.94 ~ 8.43,6469,795.687,7.19 ~ 7.61,7.61 ~ 8.09
Aeroporto de Barcelona-El Prat (Espanha),8889,1093.347,9.88 ~ 10.46,10.46 ~ 11.11,6802,836.646,7.56 ~ 8.00,8.00 ~ 8.50,7447,915.981,8.27 ~ 8.76,8.76 ~ 9.31,6595,811.185,7.33 ~ 7.76,7.76 ~ 8.24,6846,842.058,7.61 ~ 8.05,8.05 ~ 8.56,6596,811.308,7.33 ~ 7.76,7.76 ~ 8.24
Aeroporto Francisco Sá Carneiro (Porto),9174,1128.402,10.19 ~ 10.79,10.79 ~ 11.47,7100,873.3,7.89 ~ 8.35,8.35 ~ 8.88,7741,952.143,8.60 ~ 9.11,9.11 ~ 9.68,6938,853.374,7.71 ~ 8.16,8.16 ~ 8.67,7423,913.029,8.25 ~ 8.73,8.73 ~ 9.28,7042,866.1659999999999,7.82 ~ 8.28,8.28 ~ 8.80
Aeroporto de Oslo-Gardermoen,9414,1157.922,10.46 ~ 11.08,11.08 ~ 11.77,7320,900.36,8.13 ~ 8.61,8.61 ~ 9.15,7967,979.941,8.85 ~ 9.37,9.37 ~ 9.96,7136,877.728,7.93 ~ 8.40,8.40 ~ 8.92,7509,923.607,8.34 ~ 8.83,8.83 ~ 9.39,7191,884.4929999999999,7.99 ~ 8.46,8.46 ~ 8.99
Aeroporto de Heathrow (Londres),9421,1158.783,10.47 ~ 11.08,11.08 ~ 11.78,7365,905.895,8.18 ~ 8.66,8.66 ~ 9.21,7999,983.877,8.89 ~ 9.41,9.41 ~ 10.00,7141,878.343,7.93 ~ 8.40,8.40 ~ 8.93,7266,893.718,8.07 ~ 8.55,8.55 ~ 9.08,7092,872.316,7.88 ~ 8.34,8.34 ~ 8.87
Aeroporto de Praga,9436,1160.628,10.48 ~ 11.10,11.10 ~ 11.79,7382,907.986,8.20 ~ 8.68,8.68 ~ 9.23,8016,985.968,8.91 ~ 9.43,9.43 ~ 10.02,7157,880.311,7.95 ~ 8.42,8.42 ~ 8.95,7276,894.948,8.08 ~ 8.56,8.56 ~ 9.10,7106,874.038,7.90 ~ 8.36,8.36 ~ 8.88
Aeroporto de Roma-Fiumicino,9464,1164.072,10.52 ~ 11.13,11.13 ~ 11.83,7371,906.633,8.19 ~ 8.67,8.67 ~ 9.21,8018,986.2139999999999,8.91 ~ 9.43,9.43 ~ 10.02,7171,882.033,7.97 ~ 8.44,8.44 ~ 8.96,7456,917.088,8.28 ~ 8.77,8.77 ~ 9.32,7189,884.247,7.99 ~ 8.46,8.46 ~ 8.99
Aeroporto de Istambul,9587,1179.201,10.65 ~ 11.28,11.28 ~ 11.98,7497,922.131,8.33 ~ 8.82,8.82 ~ 9.37,8143,1001.5889999999999,9.05 ~ 9.58,9.58 ~ 10.18,7293,897.039,8.10 ~ 8.58,8.58 ~ 9.12,7547,928.281,8.39 ~ 8.88,8.88 ~ 9.43,7298,897.654,8.11 ~ 8.59,8.59 ~ 9.12
Aeroporto Internacional de Malta,9619,1183.137,10.69 ~ 11.32,11.32 ~ 12.02,7539,927.297,8.38 ~ 8.87,8.87 ~ 9.42,8182,1006.386,9.09 ~ 9.63,9.63 ~ 10.23,7327,901.221,8.14 ~ 8.62,8.62 ~ 9.16,7529,926.067,8.37 ~ 8.86,8.86 ~ 9.41,7310,899.13,8.12 ~ 8.60,8.60 ~ 9.14
Aeroporto Internacional de Viena,9628,1184.244,10.70 ~ 11.33,11.33 ~ 12.04,7557,929.511,8.40 ~ 8.89,8.89 ~ 9.45,8196,1008.108,9.11 ~ 9.64,9.64 ~ 10.24,7339,902.697,8.15 ~ 8.63,8.63 ~ 9.17,7508,923.484,8.34 ~ 8.83,8.83 ~ 9.38,7309,899.007,8.12 ~ 8.60,8.60 ~ 9.14
Aeroporto Internacional de Budapeste Ferenc Liszt,9751,1199.373,10.83 ~ 11.47,11.47 ~ 12.19,7685,945.255,8.54 ~ 9.04,9.04 ~ 9.61,8323,1023.729,9.25 ~ 9.79,9.79 ~ 10.40,7465,918.1949999999999,8.29 ~ 8.78,8.78 ~ 9.33,7615,936.645,8.46 ~ 8.96,8.96 ~ 9.52,7428,913.644,8.25 ~ 8.74,8.74 ~ 9.29
Aeroporto de Frankfurt,9776,1202.448,10.86 ~ 11.50,11.50 ~ 12.22,7693,946.239,8.55 ~ 9.05,9.05 ~ 9.62,8336,1025.328,9.26 ~ 9.81,9.81 ~ 10.42,7482,920.286,8.31 ~ 8.80,8.80 ~ 9.35,7697,946.731,8.55 ~ 9.06,9.06 ~ 9.62,7471,918.933,8.30 ~ 8.79,8.79 ~ 9.34
Aeroporto de Bratislava,9853,1211.9189999999999,10.95 ~ 11.59,11.59 ~ 12.32,7757,954.111,8.62 ~ 9.13,9.13 ~ 9.70,8405,1033.815,9.34 ~ 9.89,9.89 ~ 10.51,7564,930.372,8.40 ~ 8.90,8.90 ~ 9.46,7881,969.3629999999999,8.76 ~ 9.27,9.27 ~ 9.85,7596,934.308,8.44 ~ 8.94,8.94 ~ 9.49
