Origem,São Paulo - Guarulhos (Hr - Comercial),Recife - Guararapes (Hr - Comercial),Salvador - Dpt. Magalhães (Hr - Comercial),Natal - Gov. Alves (Hr - Comercial),São Luiz - Mar. Cunha (Hr - Comercial),Fortaleza - Martins (Hr - Comercial)
Aeroporto Internacional de Nursultan Nazarbayev,15.49 ~ 16.40,13.17 ~ 13.94,13.89 ~ 14.70,12.97 ~ 13.73,13.34 ~ 14.12,13.03 ~ 13.79
Aeroporto Internacional de Xangai Pudong,20.65 ~ 21.86,18.34 ~ 19.42,19.06 ~ 20.18,18.14 ~ 19.21,18.36 ~ 19.44,18.17 ~ 19.23
Aeroporto Internacional de Pequim Capital,19.53 ~ 20.68,17.20 ~ 18.22,17.92 ~ 18.98,16.98 ~ 17.98,17.14 ~ 18.15,16.97 ~ 17.97
Aeroporto Internacional de Pyongyang Sunan,20.12 ~ 21.30,17.84 ~ 18.89,18.55 ~ 19.64,17.60 ~ 18.63,17.58 ~ 18.61,17.52 ~ 18.55
Aeroporto Internacional de Incheon,20.35 ~ 21.54,18.06 ~ 19.13,18.78 ~ 19.88,17.82 ~ 18.87,17.81 ~ 18.86,17.75 ~ 18.79
Aeroporto Internacional Ninoy Aquino,20.42 ~ 21.62,19.24 ~ 20.37,19.77 ~ 20.94,19.18 ~ 20.31,19.93 ~ 21.10,19.43 ~ 20.58
Aeroporto Internacional de Hong Kong,20.02 ~ 21.20,18.16 ~ 19.23,18.79 ~ 19.90,18.05 ~ 19.11,18.67 ~ 19.77,18.24 ~ 19.31
Aeroporto Internacional Indira Gandhi,16.00 ~ 16.94,13.99 ~ 14.82,14.63 ~ 15.49,13.89 ~ 14.71,14.66 ~ 15.52,14.13 ~ 14.96
Aeroporto Internacional Soekarno-Hatta (Jacarta),17.37 ~ 18.39,17.21 ~ 18.22,17.36 ~ 18.38,17.34 ~ 18.36,18.51 ~ 19.60,17.79 ~ 18.84
Aeroporto Internacional Ngurah Rai (Bali),17.70 ~ 18.74,18.03 ~ 19.09,18.04 ~ 19.10,18.20 ~ 19.27,19.36 ~ 20.50,18.67 ~ 19.76
Aeroporto Internacional de Narita (Tóquio),20.54 ~ 21.75,18.79 ~ 19.89,19.41 ~ 20.55,18.50 ~ 19.59,18.11 ~ 19.18,18.29 ~ 19.36
Aeroporto Internacional de Haneda (Tóquio),20.59 ~ 21.81,18.80 ~ 19.91,19.43 ~ 20.58,18.52 ~ 19.61,18.15 ~ 19.21,18.31 ~ 19.39
Aeroporto Internacional de Kansai (Osaka),20.86 ~ 22.09,18.80 ~ 19.91,19.48 ~ 20.63,18.54 ~ 19.63,18.31 ~ 19.39,18.39 ~ 19.47
Aeroporto Internacional de Wattay (Vientiane),18.62 ~ 19.71,17.01 ~ 18.01,17.56 ~ 18.60,16.95 ~ 17.95,17.81 ~ 18.85,17.23 ~ 18.25
Aeroporto Internacional de Kuala Lumpur (Sepang),17.67 ~ 18.71,16.88 ~ 17.88,17.21 ~ 18.23,16.94 ~ 17.94,18.05 ~ 19.12,17.35 ~ 18.37
Aeroporto Internacional de Penang (Penang),17.71 ~ 18.75,16.75 ~ 17.74,17.13 ~ 18.13,16.79 ~ 17.78,17.87 ~ 18.92,17.18 ~ 18.19
Aeroporto Internacional de Malé,14.73 ~ 15.60,13.46 ~ 14.25,13.88 ~ 14.70,13.49 ~ 14.28,14.58 ~ 15.43,13.88 ~ 14.70
Aeroporto Internacional de Changi,17.79 ~ 18.83,17.13 ~ 18.14,17.43 ~ 18.46,17.20 ~ 18.22,18.33 ~ 19.41,17.62 ~ 18.66
Aeroporto Internacional de Suvarnabhumi,18.24 ~ 19.31,16.84 ~ 17.83,17.34 ~ 18.36,16.82 ~ 17.81,17.77 ~ 18.81,17.14 ~ 18.15
Aeroporto Internacional Don Mueang,18.24 ~ 19.31,16.82 ~ 17.81,17.32 ~ 18.34,16.80 ~ 17.79,17.74 ~ 18.79,17.12 ~ 18.13
Aeroporto Internacional de Taiwan Taoyuan,20.85 ~ 22.08,18.75 ~ 19.85,19.43 ~ 20.58,18.59 ~ 19.68,18.97 ~ 20.09,18.68 ~ 19.78
Aeroporto Internacional de Tan Son Nhat,18.73 ~ 19.83,17.57 ~ 18.60,18.02 ~ 19.08,17.56 ~ 18.60,18.55 ~ 19.64,17.91 ~ 18.96
Aeroporto Internacional de Noi Bai,19.08 ~ 20.20,17.31 ~ 18.32,17.91 ~ 18.96,17.22 ~ 18.24,17.98 ~ 19.04,17.46 ~ 18.49
Aeroporto de Frankfurt,10.86 ~ 11.50,8.55 ~ 9.05,9.26 ~ 9.81,8.31 ~ 8.80,8.55 ~ 9.06,8.30 ~ 8.79
Aeroporto de Dublin,11.79 ~ 12.49,9.47 ~ 10.03,10.19 ~ 10.79,9.25 ~ 9.79,9.53 ~ 10.09,9.26 ~ 9.80
Aeroporto de Varsóvia Chopin,11.81 ~ 12.50,9.54 ~ 10.10,10.24 ~ 10.84,9.29 ~ 9.83,9.37 ~ 9.92,9.21 ~ 9.76
Aeroporto de Oslo-Gardermoen,10.46 ~ 11.08,8.13 ~ 8.61,8.85 ~ 9.37,7.93 ~ 8.40,8.34 ~ 8.83,7.99 ~ 8.46
Aeroporto de Roma-Fiumicino,10.52 ~ 11.13,8.19 ~ 8.67,8.91 ~ 9.43,7.97 ~ 8.44,8.28 ~ 8.77,7.99 ~ 8.46
Aeroporto de Milão-Malpensa,11.22 ~ 11.88,8.90 ~ 9.42,9.61 ~ 10.18,8.67 ~ 9.18,8.95 ~ 9.48,8.68 ~ 9.19
Aeroporto de Praga,10.48 ~ 11.10,8.20 ~ 8.68,8.91 ~ 9.43,7.95 ~ 8.42,8.08 ~ 8.56,7.90 ~ 8.36
Aeroporto de Heathrow (Londres),10.47 ~ 11.08,8.18 ~ 8.66,8.89 ~ 9.41,7.93 ~ 8.40,8.07 ~ 8.55,7.88 ~ 8.34
Aeroporto de Gatwick (Londres),11.37 ~ 12.04,9.04 ~ 9.57,9.76 ~ 10.33,8.83 ~ 9.35,9.19 ~ 9.73,8.87 ~ 9.39
Aeroporto Internacional de Budapeste Ferenc Liszt,10.83 ~ 11.47,8.54 ~ 9.04,9.25 ~ 9.79,8.29 ~ 8.78,8.46 ~ 8.96,8.25 ~ 8.74
Aeroporto de Schiphol (Amsterdã),12.37 ~ 13.10,10.04 ~ 10.63,10.76 ~ 11.40,9.83 ~ 10.41,10.20 ~ 10.80,9.88 ~ 10.46
Aeroporto Internacional de Boryspil (Kiev),11.71 ~ 12.40,9.41 ~ 9.96,10.12 ~ 10.72,9.23 ~ 9.78,9.76 ~ 10.34,9.35 ~ 9.90
Aeroporto de Istambul,10.65 ~ 11.28,8.33 ~ 8.82,9.05 ~ 9.58,8.10 ~ 8.58,8.39 ~ 8.88,8.11 ~ 8.59
Aeroporto de Zurique,12.11 ~ 12.82,9.82 ~ 10.40,10.53 ~ 11.15,9.57 ~ 10.14,9.71 ~ 10.28,9.52 ~ 10.08
Aeroporto de Estocolmo-Arlanda,11.27 ~ 11.93,8.94 ~ 9.47,9.66 ~ 10.23,8.74 ~ 9.25,9.16 ~ 9.70,8.80 ~ 9.32
Aeroporto Nikola Tesla (Belgrado),13.07 ~ 13.84,10.75 ~ 11.38,11.47 ~ 12.14,10.53 ~ 11.15,10.81 ~ 11.44,10.54 ~ 11.16
Aeroporto Internacional Sheremetyevo (Moscou),12.80 ~ 13.55,10.49 ~ 11.11,11.20 ~ 11.86,10.25 ~ 10.86,10.44 ~ 11.05,10.23 ~ 10.83
Aeroporto de Pulkovo (São Petersburgo),11.69 ~ 12.38,9.38 ~ 9.93,10.09 ~ 10.69,9.18 ~ 9.72,9.63 ~ 10.20,9.26 ~ 9.81
Aeroporto Internacional Henri Coandă (Bucareste),8.79 ~ 9.30,6.49 ~ 6.87,7.20 ~ 7.62,6.24 ~ 6.61,6.47 ~ 6.85,6.22 ~ 6.58
Aeroporto Humberto Delgado (Lisboa),9.06 ~ 9.59,6.77 ~ 7.16,7.47 ~ 7.91,6.52 ~ 6.90,6.71 ~ 7.11,6.48 ~ 6.86
Aeroporto Francisco Sá Carneiro (Porto),10.19 ~ 10.79,7.89 ~ 8.35,8.60 ~ 9.11,7.71 ~ 8.16,8.25 ~ 8.73,7.82 ~ 8.28
Aeroporto Internacional de Malta,10.69 ~ 11.32,8.38 ~ 8.87,9.09 ~ 9.63,8.14 ~ 8.62,8.37 ~ 8.86,8.12 ~ 8.60
Aeroporto de Luxemburgo,12.22 ~ 12.94,9.90 ~ 10.48,10.62 ~ 11.24,9.67 ~ 10.24,9.94 ~ 10.52,9.68 ~ 10.25
Aeroporto Internacional de Vilnius,12.28 ~ 13.00,9.96 ~ 10.55,10.68 ~ 11.31,9.73 ~ 10.30,9.94 ~ 10.53,9.71 ~ 10.28
Aeroporto Internacional de Riga,11.00 ~ 11.65,8.68 ~ 9.19,9.40 ~ 9.95,8.49 ~ 8.99,8.97 ~ 9.49,8.58 ~ 9.08
Aeroporto Internacional Madre Teresa (Tirana),9.71 ~ 10.28,7.39 ~ 7.82,8.11 ~ 8.58,7.17 ~ 7.59,7.49 ~ 7.94,7.19 ~ 7.61
