InputID,TargetID,Distância km
1,2,2095
1,3,1448
1,4,2294
1,5,2318
1,6,2337
1,7,13941
1,8,18581
1,9,17578
1,10,18106
1,11,18312
1,12,18378
1,13,18018
1,14,14403
1,15,15633
1,16,15929
1,17,18490
1,18,18535
1,19,18773
1,20,16756
1,21,15905
1,22,15937
1,23,13258
1,24,16009
1,25,16417
1,26,16412
1,27,18769
1,28,16855
1,29,17171
1,30,9776
1,31,9355
1,32,10615
1,33,10627
1,34,9414
1,35,9464
1,36,10098
1,37,9436
1,38,9421
1,39,10230
1,40,9751
1,41,11133
1,42,10536
1,43,9587
1,44,10900
1,45,10141
1,46,11767
1,47,11520
1,48,10525
1,49,7909
1,50,8154
1,51,9174
1,52,9619
1,53,11001
1,54,11049
1,55,9899
1,56,8742
1,57,8889
1,58,10105
1,59,9628
1,60,10232
1,61,10149
1,62,9853
1,63,8355
1,64,8743
1,65,11222
1,66,10097
1,67,11277
2,1,2095
2,3,648
2,4,263
2,5,1199
2,6,625
2,7,11852
2,8,16506
2,9,15483
2,10,16057
2,11,16257
2,12,17316
2,13,16343
2,14,12594
2,15,15486
2,16,16223
2,17,16907
2,18,16920
2,19,16924
2,20,15307
2,21,15196
2,22,15076
2,23,12114
2,24,15420
2,25,15157
2,26,15140
2,27,16872
2,28,15809
2,29,15576
2,30,7693
2,31,7337
2,32,8523
2,33,8585
2,34,7320
2,35,7371
2,36,8007
2,37,7382
2,38,7365
2,39,8135
2,40,7685
2,41,9039
2,42,8469
2,43,7497
2,44,8839
2,45,8048
2,46,9673
2,47,9442
2,48,8438
2,49,5837
2,50,6089
2,51,7100
2,52,7539
2,53,8911
2,54,8966
2,55,7814
2,56,6650
2,57,6802
2,58,8010
2,59,7557
2,60,8148
2,61,8054
2,62,7757
2,63,6271
2,64,6650
2,65,9149
2,66,8140
2,67,9208
3,1,1448
3,2,648
3,4,858
3,5,1313
3,6,1011
3,7,12498
3,8,17150
3,9,16130
3,10,16696
3,11,16898
3,12,17795
3,13,16913
3,14,13165
3,15,15621
3,16,16239
3,17,17469
3,18,17489
3,19,17535
3,20,15807
3,21,15493
3,22,15414
3,23,12491
3,24,15688
3,25,15606
3,26,15592
3,27,17491
3,28,16216
3,29,16116
3,30,8336
3,31,7959
3,32,9170
3,33,9216
3,34,7967
3,35,8018
3,36,8653
3,37,8016
3,38,7999
3,39,8783
3,40,8323
3,41,9686
3,42,9108
3,43,8143
3,44,9475
3,45,8695
3,46,10320
3,47,10084
3,48,9083
3,49,6477
3,50,6726
3,51,7741
3,52,8182
3,53,9557
3,54,9610
3,55,8459
3,56,7296
3,57,7447
3,58,8658
3,59,8196
3,60,8793
3,61,8701
3,62,8405
3,63,6915
3,64,7297
3,65,9790
3,66,8743
3,67,9847
4,1,2294
4,2,263
4,3,858
4,5,1056
4,6,425
4,7,11673
4,8,16326
4,9,15285
4,10,15838
4,11,16040
4,12,17262
4,13,16242
4,14,12504
4,15,15602
4,16,16376
4,17,16654
4,18,16668
4,19,16685
4,20,15257
4,21,15248
4,22,15111
4,23,12142
4,24,15484
4,25,15136
4,26,15118
4,27,16727
4,28,15806
4,29,15501
4,30,7482
4,31,7103
4,32,8322
4,33,8357
4,34,7136
4,35,7171
4,36,7804
4,37,7157
4,38,7141
4,39,7944
4,40,7465
4,41,8851
4,42,8309
4,43,7293
4,44,8617
4,45,7866
4,46,9474
4,47,9228
4,48,8264
4,49,5620
4,50,5868
4,51,6938
4,52,7327
4,53,8707
4,54,8756
4,55,7642
4,56,6449
4,57,6595
4,58,7815
4,59,7339
4,60,7977
4,61,7859
4,62,7564
4,63,6061
4,64,6450
4,65,8933
4,66,7896
4,67,8990
5,1,2318
5,2,1199
5,3,1313
5,4,1056
5,6,647
5,7,12004
5,8,16524
5,9,15429
5,10,15821
5,11,16028
5,12,17934
5,13,16805
5,14,13193
5,15,16657
5,16,17421
5,17,16301
5,18,16332
5,19,16478
5,20,16026
5,21,16249
5,22,16085
5,23,13119
5,24,16498
5,25,15990
5,26,15968
5,27,17075
5,28,16692
5,29,16181
5,30,7697
5,31,7141
5,32,8578
5,33,8432
5,34,7509
5,35,7456
5,36,8056
5,37,7276
5,38,7266
5,39,8270
5,40,7615
5,41,9180
5,42,8786
5,43,7547
5,44,8736
5,45,8241
5,46,9725
5,47,9393
5,48,8671
5,49,5823
5,50,6042
5,51,7423
5,52,7529
5,53,8942
5,54,8947
5,55,8069
5,56,6745
5,57,6846
5,58,8114
5,59,7508
5,60,8402
5,61,8161
5,62,7881
5,63,6310
5,64,6745
5,65,9086
5,66,7823
5,67,9128
6,1,2337
6,2,625
6,3,1011
6,4,425
6,5,647
6,7,11724
6,8,16349
6,9,15276
6,10,15769
6,11,15975
6,12,17490
6,13,16414
6,14,12714
6,15,16013
6,16,16799
6,17,16460
6,18,16481
6,19,16550
6,20,15511
6,21,15616
6,22,15464
6,23,12494
6,24,15861
6,25,15429
6,26,15409
6,27,16816
6,28,16116
6,29,15717
6,30,7471
6,31,7018
6,32,8331
6,33,8292
6,34,7191
6,35,7189
6,36,7810
6,37,7106
6,38,7092
6,39,7982
6,40,7428
6,41,8893
6,42,8413
6,43,7298
6,44,8571
6,45,7924
6,46,9485
6,47,9203
6,48,8337
6,49,5596
6,50,5834
6,51,7042
6,52,7310
6,53,8709
6,54,8740
6,55,7722
6,56,6468
6,57,6596
6,58,7841
6,59,7309
6,60,8058
6,61,7886
6,62,7596
6,63,6059
6,64,6469
6,65,8902
6,66,7771
6,67,8953
7,1,13941
7,2,11852
7,3,12498
7,4,11673
7,5,12004
7,6,11724
7,8,4654
7,9,3662
7,10,4353
7,11,4525
7,12,5988
7,13,4847
7,14,2540
7,15,7171
7,16,7840
7,17,5613
7,18,5586
7,19,5351
7,20,4580
7,21,6053
7,22,5731
7,23,5195
7,24,6295
7,25,4908
7,26,4878
7,27,5095
7,28,5486
7,29,4453
7,30,4322
7,31,5047
7,32,3430
7,33,3791
7,34,4539
7,35,4548
7,36,3951
7,37,4812
7,38,4813
7,39,3743
7,40,4450
7,41,2832
7,42,3432
7,43,4458
7,44,3426
7,45,3807
7,46,2300
7,47,2733
7,48,3416
7,49,6184
7,50,5976
7,51,4775
7,52,4494
7,53,3081
7,54,3118
7,55,4042
7,56,5263
7,57,5157
7,58,3892
7,59,4537
