Estado,Origem,Distância original carga,Emissão original carga,Distância hub carga,Emissão hub carga,Distância original comercial,Emissão original comercial,Distância hub comercial,Emissão hub comercial
Rio Grande do Norte,Aeroporto Internacional Hartsfield-Jackson Atlanta,7238,0,6768,0,7238,0,6768,0
Rio Grande do Norte,Aeroporto Internacional de Kuala Lumpur (Sepang),15459,1,15248,1,15459,0,15248,0
Rio Grande do Norte,Aeroporto Internacional de Penang (Penang),15339,1,15111,1,15339,0,15111,0
Rio Grande do Norte,Aeroporto Internacional de Pequim Capital,15285,1,15285,1,15285,0,15285,0
Rio Grande do Norte,Aeroporto Internacional de Viena,8273,0,7815,0,8273,0,7815,0
Rio Grande do Norte,Aeroporto Internacional de Xangai Pudong,16326,1,16326,1,16326,1,16326,1
Rio Grande do Norte,Aeroporto de Copenhague,7423,0,7116,0,7423,0,7116,0
Rio Grande do Norte,Aeroporto de Frankfurt,7482,0,7482,0,7482,0,7482,0
Rio Grande do Norte,Aeroporto de Milão-Malpensa,7634,0,7171,0,7634,0,7171,0
Rio Grande do Norte,Aeroporto de Praga,12392,0,7804,0,12392,0,7804,0
Rio Grande do Norte,Aeroporto de Roma-Fiumicino,7583,0,7136,0,7583,0,7136,0
Rio Grande do Norte,Aeroporto de Zurique,7760,0,7293,0,7760,0,7293,0
