Origem,Alagoas (Km),Alagoas (Hr - Comercial),Alagoas (Hr - Cargueiro),Amapá (Km),Amapá (Hr - Comercial),Amapá (Hr - Cargueiro),Amazonas (Km),Amazonas (Hr - Comercial),Amazonas (Hr - Cargueiro),Bahia (Km),Bahia (Hr - Comercial),Bahia (Hr - Cargueiro),Ceará (Km),Ceará (Hr - Comercial),Ceará (Hr - Cargueiro),Distrito Federal (Km),Distrito Federal (Hr - Comercial),Distrito Federal (Hr - Cargueiro),Espírito Santo (Km),Espírito Santo (Hr - Comercial),Espírito Santo (Hr - Cargueiro),Maranhão (Km),Maranhão (Hr - Comercial),Maranhão (Hr - Cargueiro),Mato Grosso (Km),Mato Grosso (Hr - Comercial),Mato Grosso (Hr - Cargueiro),Minas Gerais (Km),Minas Gerais (Hr - Comercial),Minas Gerais (Hr - Cargueiro),Pará (Km),Pará (Hr - Comercial),Pará (Hr - Cargueiro),Paraná (Km),Paraná (Hr - Comercial),Paraná (Hr - Cargueiro),Pernambuco (Km),Pernambuco (Hr - Comercial),Pernambuco (Hr - Cargueiro),Rio de Janeiro (Km),Rio de Janeiro (Hr - Comercial),Rio de Janeiro (Hr - Cargueiro),Rio Grande do Norte (Km),Rio Grande do Norte (Hr - Comercial),Rio Grande do Norte (Hr - Cargueiro),Rio Grande do Sul (Km),Rio Grande do Sul (Hr - Comercial),Rio Grande do Sul (Hr - Cargueiro),Santa Catarina (Km),Santa Catarina (Hr - Comercial),Santa Catarina (Hr - Cargueiro),São Paulo (Km),São Paulo (Hr - Comercial),São Paulo (Hr - Cargueiro),Sergipe (Km),Sergipe (Hr - Comercial),Sergipe (Hr - Cargueiro)
Aeroporto Internacional Ninoy Aquino,17431,19:22 ~ 20:30,20:30 ~ 21:47,18182,20:12 ~ 21:23,21:23 ~ 22:43,18543,20:36 ~ 21:48,21:48 ~ 23:10,17795,19:46 ~ 20:56,20:56 ~ 22:14,17490,19:26 ~ 20:34,20:34 ~ 21:51,18838,20:55 ~ 22:09,22:09 ~ 23:32,17948,19:56 ~ 21:06,21:06 ~ 22:26,17934,19:55 ~ 21:05,21:05 ~ 22:25,19727,21:55 ~ 23:12,23:12 ~ 24:39,18264,20:17 ~ 21:29,21:29 ~ 22:49,18161,20:10 ~ 21:21,21:21 ~ 22:42,18446,20:29 ~ 21:42,21:42 ~ 23:03,17316,19:14 ~ 20:22,20:22 ~ 21:38,18119,20:07 ~ 21:18,21:18 ~ 22:38,17262,19:10 ~ 20:18,20:18 ~ 21:34,18116,20:07 ~ 21:18,21:18 ~ 22:38,18200,20:13 ~ 21:24,21:24 ~ 22:45,18378,20:25 ~ 21:37,21:37 ~ 22:58,17624,19:34 ~ 20:44,20:44 ~ 22:01
Aeroporto Internacional de Taiwan Taoyuan,17006,18:53 ~ 20:00,20:00 ~ 21:15,17106,19:00 ~ 20:07,20:07 ~ 21:22,17472,19:24 ~ 20:33,20:33 ~ 21:50,17491,19:26 ~ 20:34,20:34 ~ 21:51,16816,18:41 ~ 19:47,19:47 ~ 21:01,18498,20:33 ~ 21:45,21:45 ~ 23:07,18059,20:03 ~ 21:14,21:14 ~ 22:34,17075,18:58 ~ 20:05,20:05 ~ 21:20,18933,21:02 ~ 22:16,22:16 ~ 23:39,18320,20:21 ~ 21:33,21:33 ~ 22:53,17162,19:04 ~ 20:11,20:11 ~ 21:27,19064,21:10 ~ 22:25,22:25 ~ 23:49,16872,18:44 ~ 19:50,19:50 ~ 21:05,18426,20:28 ~ 21:40,21:40 ~ 23:01,16727,18:35 ~ 19:40,19:40 ~ 20:54,19093,21:12 ~ 22:27,22:27 ~ 23:51,18969,21:04 ~ 22:18,22:18 ~ 23:42,18769,20:51 ~ 22:04,22:04 ~ 23:27,17251,19:10 ~ 20:17,20:17 ~ 21:33
Aeroporto Internacional de Xangai Pudong,16641,18:29 ~ 19:34,19:34 ~ 20:48,16473,18:18 ~ 19:22,19:22 ~ 20:35,16815,18:41 ~ 19:46,19:46 ~ 21:01,17150,19:03 ~ 20:10,20:10 ~ 21:26,16349,18:09 ~ 19:14,19:14 ~ 20:26,18024,20:01 ~ 21:12,21:12 ~ 22:31,17863,19:50 ~ 21:00,21:00 ~ 22:19,16524,18:21 ~ 19:26,19:26 ~ 20:39,18278,20:18 ~ 21:30,21:30 ~ 22:50,18050,20:03 ~ 21:14,21:14 ~ 22:33,16557,18:23 ~ 19:28,19:28 ~ 20:41,18921,21:01 ~ 22:15,22:15 ~ 23:39,16506,18:20 ~ 19:25,19:25 ~ 20:37,18277,20:18 ~ 21:30,21:30 ~ 22:50,16326,18:08 ~ 19:12,19:12 ~ 20:24,19342,21:29 ~ 22:45,22:45 ~ 24:10,19014,21:07 ~ 22:22,22:22 ~ 23:46,18581,20:38 ~ 21:51,21:51 ~ 23:13,16896,18:46 ~ 19:52,19:52 ~ 21:07
Aeroporto Internacional de Hong Kong,16471,18:18 ~ 19:22,19:22 ~ 20:35,17053,18:56 ~ 20:03,20:03 ~ 21:18,17906,19:53 ~ 21:03,21:03 ~ 22:22,16913,18:47 ~ 19:53,19:53 ~ 21:08,16414,18:14 ~ 19:18,19:18 ~ 20:31,17993,19:59 ~ 21:10,21:10 ~ 22:29,17349,19:16 ~ 20:24,20:24 ~ 21:41,16805,18:40 ~ 19:46,19:46 ~ 21:00,18768,20:51 ~ 22:04,22:04 ~ 23:27,17641,19:36 ~ 20:45,20:45 ~ 22:03,17017,18:54 ~ 20:01,20:01 ~ 21:16,18278,20:18 ~ 21:30,21:30 ~ 22:50,16343,18:09 ~ 19:13,19:13 ~ 20:25,17677,19:38 ~ 20:47,20:47 ~ 22:05,16242,18:02 ~ 19:06,19:06 ~ 20:18,18309,20:20 ~ 21:32,21:32 ~ 22:53,18163,20:10 ~ 21:22,21:22 ~ 22:42,18018,20:01 ~ 21:11,21:11 ~ 22:31,16697,18:33 ~ 19:38,19:38 ~ 20:52
Aeroporto Internacional de Kansai (Osaka),17047,18:56 ~ 20:03,20:03 ~ 21:18,16132,17:55 ~ 18:58,18:58 ~ 20:09,15914,17:40 ~ 18:43,18:43 ~ 19:53,17535,19:29 ~ 20:37,20:37 ~ 21:55,16550,18:23 ~ 19:28,19:28 ~ 20:41,17923,19:54 ~ 21:05,21:05 ~ 22:24,18374,20:24 ~ 21:36,21:36 ~ 22:58,16478,18:18 ~ 19:23,19:23 ~ 20:35,17623,19:34 ~ 20:43,20:43 ~ 22:01,18356,20:23 ~ 21:35,21:35 ~ 22:56,16324,18:08 ~ 19:12,19:12 ~ 20:24,18904,21:00 ~ 22:14,22:14 ~ 23:37,16924,18:48 ~ 19:54,19:54 ~ 21:09,18717,20:47 ~ 22:01,22:01 ~ 23:23,16685,18:32 ~ 19:37,19:37 ~ 20:51,19239,21:22 ~ 22:38,22:38 ~ 24:02,19176,21:18 ~ 22:33,22:33 ~ 23:58,18773,20:51 ~ 22:05,22:05 ~ 23:27,17290,19:12 ~ 20:20,20:20 ~ 21:36
Aeroporto Internacional de Haneda (Tóquio),17034,18:55 ~ 20:02,20:02 ~ 21:17,15908,17:40 ~ 18:42,18:42 ~ 19:53,15553,17:16 ~ 18:17,18:17 ~ 19:26,17489,19:25 ~ 20:34,20:34 ~ 21:51,16481,18:18 ~ 19:23,19:23 ~ 20:36,17695,19:39 ~ 20:49,20:49 ~ 22:07,18309,20:20 ~ 21:32,21:32 ~ 22:53,16332,18:08 ~ 19:12,19:12 ~ 20:24,17280,19:11 ~ 20:19,20:19 ~ 21:36,18214,20:14 ~ 21:25,21:25 ~ 22:46,16127,17:55 ~ 18:58,18:58 ~ 20:09,18584,20:38 ~ 21:51,21:51 ~ 23:13,16920,18:48 ~ 19:54,19:54 ~ 21:08,18575,20:38 ~ 21:51,21:51 ~ 23:13,16668,18:31 ~ 19:36,19:36 ~ 20:50,18825,20:55 ~ 22:08,22:08 ~ 23:31,18837,20:55 ~ 22:09,22:09 ~ 23:32,18535,20:35 ~ 21:48,21:48 ~ 23:10,17260,19:10 ~ 20:18,20:18 ~ 21:34
Aeroporto Internacional de Narita (Tóquio),17019,18:54 ~ 20:01,20:01 ~ 21:16,15869,17:37 ~ 18:40,18:40 ~ 19:50,15498,17:13 ~ 18:13,18:13 ~ 19:22,17469,19:24 ~ 20:33,20:33 ~ 21:50,16460,18:17 ~ 19:21,19:21 ~ 20:34,17653,19:36 ~ 20:46,20:46 ~ 22:03,18284,20:18 ~ 21:30,21:30 ~ 22:51,16301,18:06 ~ 19:10,19:10 ~ 20:22,17227,19:08 ~ 20:16,20:16 ~ 21:32,18181,20:12 ~ 21:23,21:23 ~ 22:43,16090,17:52 ~ 18:55,18:55 ~ 20:06,18532,20:35 ~ 21:48,21:48 ~ 23:09,16907,18:47 ~ 19:53,19:53 ~ 21:08,18540,20:36 ~ 21:48,21:48 ~ 23:10,16654,18:30 ~ 19:35,19:35 ~ 20:49,18766,20:51 ~ 22:04,22:04 ~ 23:27,18782,20:52 ~ 22:05,22:05 ~ 23:28,18490,20:32 ~ 21:45,21:45 ~ 23:06,17243,19:09 ~ 20:17,20:17 ~ 21:33
Aeroporto Internacional de Incheon,16388,18:12 ~ 19:16,19:16 ~ 20:29,15844,17:36 ~ 18:38,18:38 ~ 19:48,16012,17:47 ~ 18:50,18:50 ~ 20:00,16898,18:46 ~ 19:52,19:52 ~ 21:07,15975,17:45 ~ 18:47,18:47 ~ 19:58,17549,19:29 ~ 20:38,20:38 ~ 21:56,17713,19:40 ~ 20:50,20:50 ~ 22:08,16028,17:48 ~ 18:51,18:51 ~ 20:02,17570,19:31 ~ 20:40,20:40 ~ 21:57,17793,19:46 ~ 20:55,20:55 ~ 22:14,15975,17:45 ~ 18:47,18:47 ~ 19:58,18590,20:39 ~ 21:52,21:52 ~ 23:14,16257,18:03 ~ 19:07,19:07 ~ 20:19,18116,20:07 ~ 21:18,21:18 ~ 22:38,16040,17:49 ~ 18:52,18:52 ~ 20:03,19148,21:16 ~ 22:31,22:31 ~ 23:56,18825,20:55 ~ 22:08,22:08 ~ 23:31,18312,20:20 ~ 21:32,21:32 ~ 22:53,16642,18:29 ~ 19:34,19:34 ~ 20:48
Aeroporto Internacional de Pyongyang Sunan,16188,17:59 ~ 19:02,19:02 ~ 20:14,15644,17:22 ~ 18:24,18:24 ~ 19:33,15853,17:36 ~ 18:39,18:39 ~ 19:48,16696,18:33 ~ 19:38,19:38 ~ 20:52,15769,17:31 ~ 18:33,18:33 ~ 19:42,17343,19:16 ~ 20:24,20:24 ~ 21:40,17515,19:27 ~ 20:36,20:36 ~ 21:53,15821,17:34 ~ 18:36,18:36 ~ 19:46,17383,19:18 ~ 20:27,20:27 ~ 21:43,17589,19:32 ~ 20:41,20:41 ~ 21:59,15771,17:31 ~ 18:33,18:33 ~ 19:42,18383,20:25 ~ 21:37,21:37 ~ 22:58,16057,17:50 ~ 18:53,18:53 ~ 20:04,17915,19:54 ~ 21:04,21:04 ~ 22:23,15838,17:35 ~ 18:37,18:37 ~ 19:47,18941,21:02 ~ 22:17,22:17 ~ 23:40,18618,20:41 ~ 21:54,21:54 ~ 23:16,18106,20:07 ~ 21:18,21:18 ~ 22:37,16441,18:16 ~ 19:20,19:20 ~ 20:33
Aeroporto Internacional de Tan Son Nhat,15910,17:40 ~ 18:43,18:43 ~ 19:53,17289,19:12 ~ 20:20,20:20 ~ 21:36,18881,20:58 ~ 22:12,22:12 ~ 23:36,16216,18:01 ~ 19:04,19:04 ~ 20:16,16116,17:54 ~ 18:57,18:57 ~ 20:08,17227,19:08 ~ 20:16,20:16 ~ 21:32,16344,18:09 ~ 19:13,19:13 ~ 20:25,16692,18:32 ~ 19:38,19:38 ~ 20:51,18124,20:08 ~ 21:19,21:19 ~ 22:39,16661,18:30 ~ 19:36,19:36 ~ 20:49,17092,18:59 ~ 20:06,20:06 ~ 21:21,17017,18:54 ~ 20:01,20:01 ~ 21:16,15809,17:33 ~ 18:35,18:35 ~ 19:45,16556,18:23 ~ 19:28,19:28 ~ 20:41,15806,17:33 ~ 18:35,18:35 ~ 19:45,16891,18:46 ~ 19:52,19:52 ~ 21:06,16830,18:41 ~ 19:48,19:48 ~ 21:02,16855,18:43 ~ 19:49,19:49 ~ 21:04,16072,17:51 ~ 18:54,18:54 ~ 20:05
