Origem,Recife - Guararapes (Km),Recife - Guararapes (Kg),Recife - Guararapes (Hr - Comercial),Recife - Guararapes (Hr - Cargueiro),Salvador - Dpt. Magalhães (Km),Salvador - Dpt. Magalhães (Kg),Salvador - Dpt. Magalhães (Hr - Comercial),Salvador - Dpt. Magalhães (Hr - Cargueiro),Natal - Gov. Alves (Km),Natal - Gov. Alves (Kg),Natal - Gov. Alves (Hr - Comercial),Natal - Gov. Alves (Hr - Cargueiro),São Luiz - Mar. Cunha (Km),São Luiz - Mar. Cunha (Kg),São Luiz - Mar. Cunha (Hr - Comercial),São Luiz - Mar. Cunha (Hr - Cargueiro),Fortaleza - Martins (Km),Fortaleza - Martins (Kg),Fortaleza - Martins (Hr - Comercial),Fortaleza - Martins (Hr - Cargueiro)
Aeroporto Internacional de Guarulhos,,,,,,,,,,,,,,,,,2337.0,44.12,02:35 ~ 02:44,02:44 ~ 02:55
Aeroporto Internacional Guararapes - Gilberto Freyre,,,,,,,,,,,,,,,,,626.0,11.82,00:41 ~ 00:44,00:44 ~ 00:46
Aeroporto Internacional Deputado Luís Eduardo Magalhães,,,,,,,,,,,,,,,,,1011.0,19.09,01:07 ~ 01:11,01:11 ~ 01:15
Aeroporto Internacional Governador Aluízio Alves,,,,,,,,,,,,,,,,,426.0,8.04,00:28 ~ 00:30,00:30 ~ 00:31
Aeroporto Internacional Marechal Cunha Machado,,,,,,,,,,,,,,,,,646.0,12.2,00:43 ~ 00:45,00:45 ~ 00:48
Aeroporto Internacional Pinto Martins,,,,,,,,,,,,,,,,,1.0,0.02,00:00 ~ 00:00,00:00 ~ 00:00
Aeroporto Internacional de Nursultan Nazarbayev,,,,,,,,,,,,,,,,,11725.0,221.38,13:01 ~ 13:47,13:47 ~ 14:39
Aeroporto Internacional de Xangai Pudong,,,,,,,,,,,,,,,,,16349.0,308.69,18:09 ~ 19:14,19:14 ~ 20:26
Aeroporto Internacional de Pequim Capital,,,,,,,,,,,,,,,,,15277.0,288.45,16:58 ~ 17:58,17:58 ~ 19:05
Aeroporto Internacional de Pyongyang Sunan,,,,,,,,,,,,,,,,,15769.0,297.73,17:31 ~ 18:33,18:33 ~ 19:42
Aeroporto Internacional de Incheon,,,,,,,,,,,,,,,,,15975.0,301.62,17:45 ~ 18:47,18:47 ~ 19:58
