Origem,Estado,Distância hub,Distância original
Aeroporto Internacional de Pequim Capital,Alagoas,15617.0,19539
Aeroporto Internacional Hartsfield-Jackson Atlanta,Alagoas,6983.0,7111
Aeroporto Internacional de Xangai Pudong,Alagoas,16641.0,20542
Aeroporto de Frankfurt,Alagoas,7825.0,7829
Aeroporto de Praga,Alagoas,8141.0,8143
Aeroporto Adolfo Suárez Madrid-Barajas,Bahia,6915.0,6915
Aeroporto Internacional de Tan Son Nhat,Bahia,16216.0,18520
Aeroporto Internacional Hartsfield-Jackson Atlanta,Bahia,7099.0,7099
Aeroporto de Barcelona-El Prat (Espanha),Bahia,7296.0,7296
Aeroporto de Frankfurt,Bahia,8336.0,8336
Aeroporto Internacional de Penang (Penang),Bahia,15414.0,17600
Aeroporto Internacional de Pequim Capital,Bahia,16130.0,16130
Aeroporto Internacional de Noi Bai,Bahia,16116.0,18836
Aeroporto Internacional de Xangai Pudong,Bahia,17150.0,17150
Aeroporto Internacional de Kuala Lumpur (Sepang),Bahia,15493.0,17564
Aeroporto Internacional de Viena,Bahia,8658.0,8658
Aeroporto Internacional de Changi,Bahia,15688.0,17457
Aeroporto de Estocolmo-Arlanda,Bahia,9475.0,9475
Aeroporto de Praga,Bahia,8653.0,8653
Aeroporto Internacional de Budapeste Ferenc Liszt,Bahia,8783.0,11820
Aeroporto de Milão-Malpensa,Bahia,8018.0,8018
Aeroporto de Copenhague,Bahia,7965.0,7965
Aeroporto de Varsóvia Chopin,Bahia,9170.0,9170
Aeroporto de Roma-Fiumicino,Bahia,7967.0,7967
Aeroporto de Toulouse-Blagnac (França),Bahia,7447.0,7447
Aeroporto de Bratislava,Bahia,8701.0,11597
Aeroporto de Gatwick (Londres),Bahia,7999.0,10985
Aeroporto Internacional de Taiwan Taoyuan,Bahia,17491.0,17491
Aeroporto de Heathrow (Londres),Bahia,8016.0,10999
Aeroporto Internacional de Narita (Tóquio),Bahia,17469.0,17469
Aeroporto Internacional Don Mueang,Bahia,15592.0,15592
Aeroporto Internacional de Suvarnabhumi,Bahia,15606.0,15606
Aeroporto Internacional de Kansai (Osaka),Bahia,17535.0,17535
Aeroporto Internacional de Haneda (Tóquio),Bahia,17489.0,17489
Aeroporto de Schiphol (Amsterdã),Bahia,8323.0,8323
Aeroporto Internacional Hartsfield-Jackson Atlanta,Ceará,6353.0,6353
