Origem,Estado,Distância hub carga,Distância original carga
Aeroporto Adolfo Suárez Madrid-Barajas,Bahia,6915,6915
Aeroporto Adolfo Suárez Madrid-Barajas,Ceará,6059,6059
Aeroporto Internacional Don Mueang,Bahia,15592,15592
Aeroporto Internacional Don Mueang,Paraíba,15121,15248
Aeroporto Internacional Hartsfield-Jackson Atlanta,Alagoas,6983,7111
Aeroporto Internacional Hartsfield-Jackson Atlanta,Bahia,7099,7099
Aeroporto Internacional Hartsfield-Jackson Atlanta,Ceará,6353,6353
Aeroporto Internacional Hartsfield-Jackson Atlanta,Maranhão,5818,9805
Aeroporto Internacional Hartsfield-Jackson Atlanta,Paraíba,6897,7083
Aeroporto Internacional Hartsfield-Jackson Atlanta,Pernambuco,6975,6975
Aeroporto Internacional Hartsfield-Jackson Atlanta,Rio Grande do Norte,6768,7238
Aeroporto Internacional de Budapeste Ferenc Liszt,Bahia,8783,11820
Aeroporto Internacional de Budapeste Ferenc Liszt,Ceará,7982,12567
Aeroporto Internacional de Budapeste Ferenc Liszt,Paraíba,8049,8243
Aeroporto Internacional de Budapeste Ferenc Liszt,Pernambuco,8135,8135
Aeroporto Internacional de Changi,Bahia,15688,17457
Aeroporto Internacional de Haneda (Tóquio),Bahia,17489,17489
Aeroporto Internacional de Hong Kong,Ceará,16415,20534
Aeroporto Internacional de Hong Kong,Paraíba,16293,20201
Aeroporto Internacional de Hong Kong,Pernambuco,16343,20329
Aeroporto Internacional de Incheon,Ceará,15975,15975
Aeroporto Internacional de Kansai (Osaka),Bahia,17535,17535
Aeroporto Internacional de Kuala Lumpur (Sepang),Bahia,15493,17564
Aeroporto Internacional de Kuala Lumpur (Sepang),Ceará,15617,15617
Aeroporto Internacional de Kuala Lumpur (Sepang),Paraíba,15207,15304
Aeroporto Internacional de Kuala Lumpur (Sepang),Rio Grande do Norte,15248,15459
Aeroporto Internacional de Narita (Tóquio),Bahia,17469,17469
Aeroporto Internacional de Noi Bai,Bahia,16116,18836
Aeroporto Internacional de Noi Bai,Paraíba,15535,15684
Aeroporto Internacional de Penang (Penang),Bahia,15414,17600
Aeroporto Internacional de Penang (Penang),Ceará,15464,15464
Aeroporto Internacional de Penang (Penang),Paraíba,15080,15184
Aeroporto Internacional de Penang (Penang),Rio Grande do Norte,15111,15339
Aeroporto Internacional de Pequim Capital,Alagoas,15617,19539
