Origem,Alagoas (Km),Amapá (Km),Amazonas (Km),Bahia (Km),Ceará (Km),Distrito Federal (Km),Espírito Santo (Km),Maranhão (Km),Mato Grosso (Km),Minas Gerais (Km),Pará (Km),Paraná (Km),Pernambuco (Km),Rio de Janeiro (Km),Rio Grande do Norte (Km),Rio Grande do Sul (Km),Roraima (Km),Santa Catarina (Km),São Paulo (Km),Sergipe (Km)
Aeroporto Internacional de Nursultan Nazarbayev,11988,12209,13424,,,13412,13249,,13962,13404,12173,14275,,13667,,14786,12522,14423,13941,12243
Aeroporto Internacional de Xangai Pudong,16641,16473,16815,,,18024,17863,,18278,18050,16557,18921,,18277,,19342,16234,19014,18581,16896
Aeroporto Internacional de Pequim Capital,15617,15391,15927,,,16936,16907,,17215,17040,15463,17901,,17323,,18438,15244,18075,17578,15873
Aeroporto Internacional de Pyongyang Sunan,16188,15644,15853,,,17343,17515,,17383,17589,15771,18383,,17915,,18941,15301,18618,18106,16441
Aeroporto Internacional de Incheon,16388,15844,16012,,,17549,17713,,17570,17793,15975,18590,,18116,,19148,15482,18825,18312,16642
Aeroporto Internacional Ninoy Aquino,17431,18182,18543,,,18838,17948,,19727,18264,18161,18446,,18119,,18116,18076,18200,18378,17624
Aeroporto Internacional de Hong Kong,16471,17053,17906,,,17993,17349,,18768,17641,17017,18278,,17677,,18309,17162,18163,18018,16697
Aeroporto Internacional Indira Gandhi,12720,13674,15248,,,14242,13682,,15060,13944,13522,14725,,14064,,15043,14333,14736,14403,12946
Aeroporto Internacional Soekarno-Hatta (Jacarta),15535,17470,18705,,,16313,15376,,16971,15665,17149,15668,,15426,,15366,18585,15422,15633,15590
Aeroporto Internacional Ngurah Rai (Bali),16250,18223,18657,,,16715,15832,,17155,16085,17896,15883,,15790,,15478,19216,15614,15929,16258
Aeroporto Internacional de Narita (Tóquio),17019,15869,15498,,,17653,18284,,17227,18181,16090,18532,,18540,,18766,15206,18782,18490,17243
Aeroporto Internacional de Haneda (Tóquio),17034,15908,15553,,,17695,18309,,17280,18214,16127,18584,,18575,,18825,15254,18837,18535,17260
Aeroporto Internacional de Kansai (Osaka),17047,16132,15914,,,17923,18374,,17623,18356,16324,18904,,18717,,19239,15558,19176,18773,17290
Aeroporto Internacional de Wattay (Vientiane),15423,16518,17989,,,16885,16124,,17781,16430,16369,17001,,16422,,17050,17071,16884,16756,15621
Aeroporto Internacional de Kuala Lumpur (Sepang),15276,16992,18698,,,16401,15473,,17238,15786,16717,16031,,15631,,15861,17981,15825,15905,15395
Aeroporto Internacional de Penang (Penang),15164,16797,18527,,,16369,15458,,17240,15775,16539,16089,,15647,,15965,17734,15899,15937,15299
Aeroporto Internacional de Malé,12206,13858,15570,,,13510,12663,,14418,12977,13583,13492,,12930,,13564,14886,13377,13258,12355
Aeroporto Internacional de Changi,15495,17257,18930,,,16555,15617,,17357,15927,16973,16110,,15750,,15900,18269,15891,16009,15602
Aeroporto Internacional de Suvarnabhumi,15264,16572,18194,,,16657,15830,,17568,16144,16380,16632,,16094,,16622,17276,16488,16417,15442
Aeroporto Internacional Don Mueang,15248,16548,18166,,,16645,15822,,17556,16135,16357,16630,,16088,,16624,17248,16488,16412,15427
Aeroporto Internacional de Taiwan Taoyuan,17006,17106,17472,,,18498,18059,,18933,18320,17162,19064,,18426,,19093,16908,18969,18769,17251
Aeroporto Internacional de Tan Son Nhat,15910,17289,18881,,,17227,16344,,18124,16661,17092,17017,,16556,,16891,17958,16830,16855,16072
Aeroporto Internacional de Noi Bai,15699,16579,17853,,,17202,16508,,18058,16804,16473,17437,,16831,,17525,16970,17339,17171,15913
Aeroporto de Frankfurt,7825,7891,9217,,,9150,9148,,9644,9242,7851,10093,,9551,,10640,8296,10284,9776,8080
