Origem,Estado,Emissão hub carga,Emissão original carga
Aeroporto Internacional de Taiwan Taoyuan,Alagoas,368.0,366.0
Aeroporto de Gatwick (Londres),Alagoas,167.0,245.0
Aeroporto de Barcelona-El Prat (Espanha),Alagoas,146.0,146.0
Aeroporto de Frankfurt,Alagoas,175.0,168.0
Aeroporto Internacional de Hong Kong,Alagoas,357.0,430.0
Aeroporto Internacional de Pequim Capital,Alagoas,343.0,358.0
Aeroporto de Heathrow (Londres),Alagoas,167.0,245.0
Aeroporto Adolfo Suárez Madrid-Barajas,Alagoas,144.0,138.0
Aeroporto Internacional de Xangai Pudong,Alagoas,359.0,380.0
Aeroporto Internacional de Pequim Capital,Amapá,360.0,331.0
Aeroporto Internacional de Kansai (Osaka),Amapá,372.0,347.0
Aeroporto Internacional de Taiwan Taoyuan,Amapá,400.0,368.0
Aeroporto Internacional de Narita (Tóquio),Amapá,368.0,341.0
Aeroporto de Praga,Amapá,208.0,178.0
Aeroporto Internacional Don Mueang,Amapá,366.0,356.0
Aeroporto Internacional de Xangai Pudong,Amapá,392.0,354.0
Aeroporto Internacional de Haneda (Tóquio),Amapá,369.0,342.0
Aeroporto de Toulouse-Blagnac (França),Amapá,182.0,152.0
Aeroporto Internacional de Suvarnabhumi,Amapá,366.0,357.0
Aeroporto Internacional de Haneda (Tóquio),Amazonas,389.0,335.0
Aeroporto de Barcelona-El Prat (Espanha),Amazonas,198.0,171.0
Aeroporto de Frankfurt,Amazonas,212.0,188.0
Aeroporto Internacional de Viena,Amazonas,228.0,199.0
Aeroporto de Tallinn,Amazonas,243.0,215.0
Aeroporto de Praga,Amazonas,227.0,197.0
Aeroporto Internacional de Kuala Lumpur (Sepang),Amazonas,388.0,387.0
Aeroporto Internacional de Kansai (Osaka),Amazonas,392.0,342.0
Aeroporto de Zurique,Amazonas,216.0,186.0
Aeroporto de Roma-Fiumicino,Amazonas,213.0,189.0
Aeroporto Internacional Don Mueang,Amazonas,385.0,378.0
Aeroporto de Schiphol (Amsterdã),Amazonas,211.0,185.0
