Origem,Estado,Emissão hub comercial,Emissão original comercial
Aeroporto Internacional Hartsfield-Jackson Atlanta,Rio Grande do Norte,0,0
Aeroporto Internacional de Kuala Lumpur (Sepang),Rio Grande do Norte,0,0
Aeroporto Internacional de Penang (Penang),Rio Grande do Norte,0,0
Aeroporto Internacional de Pequim Capital,Rio Grande do Norte,0,0
Aeroporto Internacional de Viena,Rio Grande do Norte,0,0
Aeroporto Internacional de Xangai Pudong,Rio Grande do Norte,1,1
Aeroporto de Copenhague,Rio Grande do Norte,0,0
Aeroporto de Frankfurt,Rio Grande do Norte,0,0
Aeroporto de Milão-Malpensa,Rio Grande do Norte,0,0
Aeroporto de Praga,Rio Grande do Norte,0,0
Aeroporto de Roma-Fiumicino,Rio Grande do Norte,0,0
Aeroporto de Zurique,Rio Grande do Norte,0,0
