Origem,Alagoas (Kg),Amapá (Kg),Amazonas (Kg),Bahia (Kg),Ceará (Kg),Distrito Federal (Kg),Espírito Santo (Kg),Maranhão (Kg),Mato Grosso (Kg),Minas Gerais (Kg),Pará (Kg),Paraná (Kg),Pernambuco (Kg),Rio de Janeiro (Kg),Rio Grande do Norte (Kg),Rio Grande do Sul (Kg),Santa Catarina (Kg),São Paulo (Kg),Sergipe (Kg)
Aeroporto Internacional de Nursultan Nazarbayev,1474.524,1501.7069999999999,1651.152,1537.254,1442.052,1649.676,1629.627,1476.492,1717.326,1648.692,1497.279,1755.825,1457.796,1681.041,1435.779,1818.6779999999999,1774.029,1714.743,1505.889
Aeroporto Internacional de Xangai Pudong,2046.843,2026.1789999999999,2068.245,2109.45,2010.927,2216.9519999999998,2197.149,2032.452,2248.194,2220.15,2036.511,2327.283,2030.238,2248.071,2008.098,2379.066,2338.7219999999998,2285.463,2078.208
Aeroporto Internacional de Pequim Capital,1920.891,1893.093,1959.021,1983.99,1878.9479999999999,2083.128,2079.561,1897.767,2117.445,2095.92,1901.949,2201.823,1904.4089999999999,2130.729,1880.055,2267.874,2223.225,2162.094,1952.379
Aeroporto Internacional de Pyongyang Sunan,1991.124,1924.212,1949.9189999999999,2053.608,1939.587,2133.189,2154.345,1945.983,2138.109,2163.447,1939.833,2261.109,1975.011,2203.545,1948.074,2329.743,2290.014,2227.038,2022.243
Aeroporto Internacional de Incheon,2015.724,1948.812,1969.4759999999999,2078.454,1964.925,2158.527,2178.699,1971.444,2161.11,2188.5389999999998,1964.925,2286.57,1999.6109999999999,2228.268,1972.92,2355.204,2315.475,2252.3759999999997,2046.966
Aeroporto Internacional Ninoy Aquino,2144.013,2236.386,2280.7889999999998,2188.785,2151.27,2317.074,2207.604,2205.882,2426.421,2246.4719999999998,2233.803,2268.858,2129.868,2228.637,2123.226,2228.268,2238.6,2260.494,2167.752
Aeroporto Internacional de Hong Kong,2025.933,2097.519,2202.438,2080.299,2018.922,2213.139,2133.927,2067.015,2308.464,2169.843,2093.091,2248.194,2010.189,2174.271,1997.766,2252.007,2234.049,2216.214,2053.7309999999998
Aeroporto Internacional Indira Gandhi,1564.56,1681.902,1875.504,1619.295,1563.822,1751.766,1682.886,1622.739,1852.3799999999999,1715.112,1663.206,1811.175,1549.062,1729.872,1537.992,1850.289,1812.528,1771.569,1592.358
Aeroporto Internacional Soekarno-Hatta (Jacarta),1910.805,2148.81,2300.715,1921.383,1969.599,2006.499,1891.248,2048.811,2087.433,1926.795,2109.3269999999998,1927.164,1904.778,1897.398,1919.046,1890.018,1896.906,1922.859,1917.57
Aeroporto Internacional Ngurah Rai (Bali),1998.75,2241.429,2294.811,1997.397,2066.277,2055.945,1947.336,2142.783,2110.065,1978.455,2201.208,1953.609,1995.4289999999999,1942.17,2014.248,1903.7939999999999,1920.522,1959.267,1999.734
Aeroporto Internacional de Narita (Tóquio),2093.337,1951.887,1906.254,2148.687,2024.58,2171.319,2248.932,2005.023,2118.921,2236.263,1979.07,2279.436,2079.561,2280.42,2048.442,2308.218,2310.186,2274.27,2120.889
Aeroporto Internacional de Haneda (Tóquio),2095.182,1956.684,1913.019,2151.147,2027.163,2176.485,2252.007,2008.836,2125.44,2240.322,1983.6209999999999,2285.832,2081.16,2284.725,2050.1639999999998,2315.475,2316.951,2279.805,2122.98
Aeroporto Internacional de Kansai (Osaka),2096.781,1984.2359999999999,1957.422,2156.805,2035.6499999999999,2204.529,2260.002,2026.7939999999999,2167.629,2257.788,2007.8519999999999,2325.192,2081.652,2302.191,2052.255,2366.397,2358.648,2309.079,2126.67
