Destino,Origem,Intermerdiario,Final,Distancia,Emissão de CO2
Alagoas,Aeroporto de Frankfurt,Aeroporto Internacional de Fortaleza,Aeroporto Internacional de Maceió,8130,175.16454545454545
Alagoas,Aeroporto Internacional de Pequim Capital,Aeroporto Internacional de Fortaleza,Aeroporto Internacional de Maceió,15935,343.32681818181817
Alagoas,Aeroporto de Barcelona-El Prat (Espanha),Aeroporto Internacional de Natal,Aeroporto Internacional de Maceió,6814,146.81072727272726
Alagoas,Aeroporto de Heathrow (Londres),Aeroporto Internacional de Fortaleza,Aeroporto Internacional de Maceió,7765,167.30045454545456
Alagoas,Aeroporto Internacional de Hong Kong,Aeroporto Internacional de Natal,Aeroporto Internacional de Maceió,16607,357.80536363636367
Alagoas,Aeroporto de Gatwick (Londres),Aeroporto Internacional de Fortaleza,Aeroporto Internacional de Maceió,7751,166.99881818181817
Alagoas,Aeroporto Internacional de Taiwan Taoyuan,Aeroporto Internacional de Natal,Aeroporto Internacional de Maceió,17092,368.2549090909091
Alagoas,Aeroporto Internacional de Xangai Pudong,Aeroporto Internacional de Natal,Aeroporto Internacional de Maceió,16691,359.61518181818184
Alagoas,Aeroporto Adolfo Suárez Madrid-Barajas,Aeroporto Internacional de Fortaleza,Aeroporto Internacional de Maceió,6718,144.74236363636365
Amapá,Aeroporto de Toulouse-Blagnac (França),Aeroporto Internacional de Natal,Aeroporto Internacional de Macapá,8466,182.40381818181817
Amapá,Aeroporto Internacional de Pequim Capital,Aeroporto Internacional de Fortaleza,Aeroporto Internacional de Macapá,16734,360.54163636363637
Amapá,Aeroporto Internacional de Suvarnabhumi,Aeroporto Internacional de Natal,Aeroporto Internacional de Macapá,17007,366.4235454545455
Amapá,Aeroporto Internacional de Kansai (Osaka),Aeroporto Internacional de São Luís,Aeroporto Internacional de Macapá,17293,372.58554545454547
Amapá,Aeroporto Internacional de Narita (Tóquio),Aeroporto Internacional de São Luís,Aeroporto Internacional de Macapá,17116,368.772
Amapá,Aeroporto Internacional de Haneda (Tóquio),Aeroporto Internacional de São Luís,Aeroporto Internacional de Macapá,17147,369.4399090909091
Amapá,Aeroporto Internacional de Taiwan Taoyuan,Aeroporto Internacional de Natal,Aeroporto Internacional de Macapá,18598,400.70236363636366
Amapá,Aeroporto Internacional Don Mueang,Aeroporto Internacional de Natal,Aeroporto Internacional de Macapá,16989,366.0357272727273
Amapá,Aeroporto de Praga,Aeroporto Internacional de Natal,Aeroporto Internacional de Macapá,9675,208.45227272727274
Amapá,Aeroporto Internacional de Xangai Pudong,Aeroporto Internacional de Natal,Aeroporto Internacional de Macapá,18197,392.06263636363633
Amazonas,Aeroporto Internacional de Suvarnabhumi,Aeroporto Internacional de Natal,Aeroporto Internacional de Manaus,17904,385.74981818181817
Amazonas,Aeroporto de Zurique,Aeroporto Internacional de Natal,Aeroporto Internacional de Manaus,10061,216.76881818181818
Amazonas,Aeroporto Internacional de Kansai (Osaka),Aeroporto Internacional de São Luís,Aeroporto Internacional de Manaus,18238,392.946
Amazonas,Aeroporto Internacional de Noi Bai,Aeroporto Internacional de Natal,Aeroporto Internacional de Manaus,18269,393.6139090909091
Amazonas,Aeroporto de Milão-Malpensa,Aeroporto Internacional de Natal,Aeroporto Internacional de Manaus,9939,214.14027272727273
Amazonas,Aeroporto Adolfo Suárez Madrid-Barajas,Aeroporto Internacional de Fortaleza,Aeroporto Internacional de Manaus,8452,182.10218181818183
Amazonas,Aeroporto Internacional de Vilnius,Aeroporto Internacional de Natal,Aeroporto Internacional de Manaus,11475,247.23409090909092
Amazonas,Aeroporto de Toulouse-Blagnac (França),Aeroporto Internacional de Natal,Aeroporto Internacional de Manaus,9363,201.7300909090909
Amazonas,Aeroporto Internacional de Penang (Penang),Aeroporto Internacional do Recife,Aeroporto Internacional de Manaus,17915,385.9868181818182
Amazonas,Aeroporto de Bruxelas,Aeroporto Internacional de Fortaleza,Aeroporto Internacional de Manaus,9702,209.034
Amazonas,Aeroporto Internacional de Hong Kong,Aeroporto Internacional de Natal,Aeroporto Internacional de Manaus,19010,409.5790909090909
Amazonas,Aeroporto Internacional de Taiwan Taoyuan,Aeroporto Internacional de Natal,Aeroporto Internacional de Manaus,19495,420.02863636363634
Amazonas,Aeroporto Internacional de Tan Son Nhat,Aeroporto Internacional de Natal,Aeroporto Internacional de Manaus,18574,400.1852727272727
Amazonas,Aeroporto Internacional de Pyongyang Sunan,Aeroporto Internacional de Fortaleza,Aeroporto Internacional de Manaus,18162,391.3085454545455
Amazonas,Aeroporto de Sófia,Aeroporto Internacional de Natal,Aeroporto Internacional de Manaus,10745,231.50590909090909
Amazonas,Aeroporto Internacional de Budapeste Ferenc Liszt,Aeroporto Internacional de Natal,Aeroporto Internacional de Manaus,10712,230.7949090909091
Amazonas,Aeroporto de Estocolmo-Arlanda,Aeroporto Internacional de Fortaleza,Aeroporto Internacional de Manaus,10964,236.22436363636365
Amazonas,Aeroporto Internacional de Kuala Lumpur (Sepang),Aeroporto Internacional do Recife,Aeroporto Internacional de Manaus,18035,388.5722727272727
Amazonas,Aeroporto de Schiphol (Amsterdã),Aeroporto Internacional de Fortaleza,Aeroporto Internacional de Manaus,9821,211.5979090909091
Amazonas,Aeroporto de Frankfurt,Aeroporto Internacional de Fortaleza,Aeroporto Internacional de Manaus,9864,212.52436363636366
