Destino,Origem,Intermerdiario,Final,Distancia,Emissão de CO2
Rio Grande do Norte,Aeroporto de Frankfurt,*,Aeroporto Internacional de Natal,7482,0.26
Rio Grande do Norte,Aeroporto Internacional Hartsfield-Jackson Atlanta,*,Aeroporto Internacional de Natal,6768,0.21
Rio Grande do Norte,Aeroporto Internacional de Xangai Pudong,*,Aeroporto Internacional de Natal,16326,1.24
Rio Grande do Norte,Aeroporto de Copenhague,*,Aeroporto Internacional de Natal,7116,0.24
Rio Grande do Norte,Aeroporto de Praga,*,Aeroporto Internacional de Natal,7804,0.28
Rio Grande do Norte,Aeroporto Internacional de Viena,*,Aeroporto Internacional de Natal,7815,0.28
Rio Grande do Norte,Aeroporto Internacional de Pequim Capital,*,Aeroporto Internacional de Natal,15285,1.08
Rio Grande do Norte,Aeroporto Internacional de Penang (Penang),*,Aeroporto Internacional de Natal,15111,1.06
Rio Grande do Norte,Aeroporto de Zurique,*,Aeroporto Internacional de Natal,7293,0.25
Rio Grande do Norte,Aeroporto Internacional de Kuala Lumpur (Sepang),*,Aeroporto Internacional de Natal,15248,1.08
Rio Grande do Norte,Aeroporto de Milão-Malpensa,*,Aeroporto Internacional de Natal,7171,0.24
Rio Grande do Norte,Aeroporto de Roma-Fiumicino,*,Aeroporto Internacional de Natal,7136,0.24
