Destino,Origem,Intermerdiario,Final,Distancia,Emissão de CO2
Alagoas,Aeroporto de Frankfurt,Aeroporto Internacional de Natal,Aeroporto Internacional de Maceió,7847,1117.86
Alagoas,Aeroporto de Praga,Aeroporto Internacional de Natal,Aeroporto Internacional de Maceió,8169,1211.48
Alagoas,Aeroporto Internacional de Pequim Capital,Aeroporto Internacional de Natal,Aeroporto Internacional de Maceió,15650,4446.39
Alagoas,Aeroporto Internacional de Xangai Pudong,Aeroporto Internacional de Natal,Aeroporto Internacional de Maceió,16691,5057.59
Bahia,Aeroporto Adolfo Suárez Madrid-Barajas,Aeroporto Internacional de Natal,Aeroporto Internacional de Salvador,6919,869.09
Bahia,Aeroporto Internacional de Pequim Capital,Aeroporto Internacional de Natal,Aeroporto Internacional de Salvador,16143,4730.94
Bahia,Aeroporto Internacional de Kuala Lumpur (Sepang),Aeroporto Internacional do Recife,Aeroporto Internacional de Salvador,15844,4557.31
Bahia,Aeroporto Internacional de Xangai Pudong,Aeroporto Internacional de Natal,Aeroporto Internacional de Salvador,17184,5360.78
Bahia,Aeroporto Internacional de Taiwan Taoyuan,Aeroporto Internacional de Natal,Aeroporto Internacional de Salvador,17585,5613.89
Bahia,Aeroporto Internacional de Tan Son Nhat,Aeroporto Internacional de João Pessoa,Aeroporto Internacional de Salvador,16534,4962.89
Bahia,Aeroporto de Estocolmo-Arlanda,Aeroporto Internacional de Fortaleza,Aeroporto Internacional de Salvador,9582,1666.83
Bahia,Aeroporto Internacional de Noi Bai,Aeroporto Internacional de Natal,Aeroporto Internacional de Salvador,16359,4858.39
Bahia,Aeroporto Internacional de Penang (Penang),Aeroporto Internacional do Recife,Aeroporto Internacional de Salvador,15724,4488.54
Bahia,Aeroporto de Copenhague,Aeroporto Internacional de Fortaleza,Aeroporto Internacional de Salvador,8008,1164.2
Bahia,Aeroporto de Milão-Malpensa,Aeroporto Internacional de Natal,Aeroporto Internacional de Salvador,8029,1170.31
Bahia,Aeroporto de Roma-Fiumicino,Aeroporto Internacional de Natal,Aeroporto Internacional de Salvador,7994,1160.13
Bahia,Aeroporto de Toulouse-Blagnac (França),Aeroporto Internacional de Natal,Aeroporto Internacional de Salvador,7453,1008.42
Bahia,Aeroporto Internacional de Budapeste Ferenc Liszt,Aeroporto Internacional de Natal,Aeroporto Internacional de Salvador,8802,1406.51
Bahia,Aeroporto Internacional de Kansai (Osaka),Aeroporto Internacional de São Luís,Aeroporto Internacional de Salvador,17791,5746.19
Bahia,Aeroporto Internacional de Viena,Aeroporto Internacional de Natal,Aeroporto Internacional de Salvador,8673,1365.58
Bahia,Aeroporto Internacional de Suvarnabhumi,Aeroporto Internacional de João Pessoa,Aeroporto Internacional de Salvador,15875,4575.16
Bahia,Aeroporto de Bratislava,Aeroporto Internacional de Natal,Aeroporto Internacional de Salvador,8717,1379.47
Bahia,Aeroporto de Frankfurt,Aeroporto Internacional de Natal,Aeroporto Internacional de Salvador,8340,1262.73
Bahia,Aeroporto de Praga,Aeroporto Internacional de Natal,Aeroporto Internacional de Salvador,8662,1362.12
Bahia,Aeroporto de Schiphol (Amsterdã),Aeroporto Internacional de Fortaleza,Aeroporto Internacional de Salvador,8439,1292.89
Bahia,Aeroporto de Heathrow (Londres),Aeroporto Internacional de Fortaleza,Aeroporto Internacional de Salvador,8117,1196.11
Bahia,Aeroporto de Gatwick (Londres),Aeroporto Internacional de Fortaleza,Aeroporto Internacional de Salvador,8103,1191.99
Bahia,Aeroporto de Varsóvia Chopin,Aeroporto Internacional de Natal,Aeroporto Internacional de Salvador,9180,1529.91
Bahia,Aeroporto de Barcelona-El Prat (Espanha),Aeroporto Internacional de Natal,Aeroporto Internacional de Salvador,7307,969.3
