Destino,Origem,Intermerdiario,Final,Distancia,Emissão de CO2
Alagoas,Aeroporto Internacional de Xangai Pudong,Aeroporto Internacional de Guarulhos,Aeroporto Internacional de Maceió,20542,11020.14
Alagoas,Aeroporto de Frankfurt,Aeroporto Internacional do Recife,Aeroporto Internacional de Maceió,7829,1600.72
Alagoas,Aeroporto Internacional de Pequim Capital,Aeroporto Internacional de Guarulhos,Aeroporto Internacional de Maceió,19539,9970.26
Bahia,Aeroporto Internacional de Suvarnabhumi,*,Aeroporto Internacional de Salvador,15606,336.24
Bahia,Aeroporto de Bratislava,Aeroporto Internacional de Guarulhos,Aeroporto Internacional de Salvador,11597,3512.31
Bahia,Aeroporto de Milão-Malpensa,*,Aeroporto Internacional de Salvador,8018,172.75
Bahia,Aeroporto Internacional de Budapeste Ferenc Liszt,Aeroporto Internacional de Viracopos,Aeroporto Internacional de Salvador,11820,3648.69
Bahia,Aeroporto Adolfo Suárez Madrid-Barajas,*,Aeroporto Internacional de Salvador,6915,148.99
Bahia,Aeroporto de Varsóvia Chopin,*,Aeroporto Internacional de Salvador,9170,197.57
Bahia,Aeroporto Internacional de Kansai (Osaka),*,Aeroporto Internacional de Salvador,17535,377.8
Bahia,Aeroporto Internacional de Narita (Tóquio),*,Aeroporto Internacional de Salvador,17469,376.38
Bahia,Aeroporto Internacional de Kuala Lumpur (Sepang),Aeroporto Internacional de Viracopos,Aeroporto Internacional de Salvador,17564,8056.54
Bahia,Aeroporto Internacional de Taiwan Taoyuan,*,Aeroporto Internacional de Salvador,17491,376.85
Bahia,Aeroporto de Toulouse-Blagnac (França),*,Aeroporto Internacional de Salvador,7447,160.45
Bahia,Aeroporto de Heathrow (Londres),Aeroporto Internacional de Viracopos,Aeroporto Internacional de Salvador,10999,3159.43
Bahia,Aeroporto de Frankfurt,*,Aeroporto Internacional de Salvador,8336,179.6
Bahia,Aeroporto Internacional de Viena,*,Aeroporto Internacional de Salvador,8658,186.54
Bahia,Aeroporto Internacional de Haneda (Tóquio),*,Aeroporto Internacional de Salvador,17489,376.81
Bahia,Aeroporto de Barcelona-El Prat (Espanha),*,Aeroporto Internacional de Salvador,7296,157.2
Bahia,Aeroporto de Gatwick (Londres),Aeroporto Internacional de Viracopos,Aeroporto Internacional de Salvador,10985,3151.39
Bahia,Aeroporto Internacional de Changi,Aeroporto Internacional de Guarulhos,Aeroporto Internacional de Salvador,17457,7958.68
Bahia,Aeroporto de Schiphol (Amsterdã),*,Aeroporto Internacional de Salvador,8323,179.32
Bahia,Aeroporto Internacional de Noi Bai,Aeroporto Internacional de Viracopos,Aeroporto Internacional de Salvador,18836,9265.72
Bahia,Aeroporto de Estocolmo-Arlanda,*,Aeroporto Internacional de Salvador,9475,204.14
Bahia,Aeroporto Internacional de Pequim Capital,*,Aeroporto Internacional de Salvador,16130,347.53
Bahia,Aeroporto Internacional Don Mueang,*,Aeroporto Internacional de Salvador,15592,335.94
Bahia,Aeroporto Internacional de Tan Son Nhat,Aeroporto Internacional de Viracopos,Aeroporto Internacional de Salvador,18520,8957.44
