Destino,Origem,Intermerdiario,Final,Distancia
Alagoas,Aeroporto Internacional de Hong Kong,Aeroporto Internacional de Guarulhos,Aeroporto Internacional de Maceió,19979
Alagoas,Aeroporto de Barcelona-El Prat (Espanha),Aeroporto Internacional do Recife,Aeroporto Internacional de Maceió,6786
Alagoas,Aeroporto de Heathrow (Londres),Aeroporto Internacional de Guarulhos,Aeroporto Internacional de Maceió,11397
Alagoas,Aeroporto Internacional de Pequim Capital,Aeroporto Internacional de Salvador,Aeroporto Internacional de Maceió,16643
Alagoas,Aeroporto Internacional de Taiwan Taoyuan,*,Aeroporto Internacional de Maceió,17006
Alagoas,Aeroporto Internacional de Xangai Pudong,Aeroporto Internacional de Salvador,Aeroporto Internacional de Maceió,17663
Alagoas,Aeroporto de Frankfurt,Aeroporto Internacional do Recife,Aeroporto Internacional de Maceió,7829
Alagoas,Aeroporto de Gatwick (Londres),Aeroporto Internacional de Guarulhos,Aeroporto Internacional de Maceió,11382
Alagoas,Aeroporto Adolfo Suárez Madrid-Barajas,Aeroporto Internacional do Recife,Aeroporto Internacional de Maceió,6407
Amapá,Aeroporto Internacional de Haneda (Tóquio),*,Aeroporto Internacional de Macapá,15908
Amapá,Aeroporto Internacional de Pequim Capital,*,Aeroporto Internacional de Macapá,15391
Amapá,Aeroporto Internacional de Kansai (Osaka),*,Aeroporto Internacional de Macapá,16132
Amapá,Aeroporto de Praga,*,Aeroporto Internacional de Macapá,8273
Amapá,Aeroporto Internacional de Suvarnabhumi,*,Aeroporto Internacional de Macapá,16572
Amapá,Aeroporto Internacional de Taiwan Taoyuan,*,Aeroporto Internacional de Macapá,17106
Amapá,Aeroporto Internacional de Narita (Tóquio),*,Aeroporto Internacional de Macapá,15869
Amapá,Aeroporto de Toulouse-Blagnac (França),*,Aeroporto Internacional de Macapá,7087
Amapá,Aeroporto Internacional de Xangai Pudong,*,Aeroporto Internacional de Macapá,16473
Amapá,Aeroporto Internacional Don Mueang,*,Aeroporto Internacional de Macapá,16548
Amazonas,Aeroporto Internacional Ninoy Aquino,*,Aeroporto Internacional de Manaus,18730
Amazonas,Aeroporto Internacional de Viena,*,Aeroporto Internacional de Manaus,9271
Amazonas,Aeroporto Internacional de Hong Kong,*,Aeroporto Internacional de Manaus,17777
Amazonas,Aeroporto de Milão-Malpensa,*,Aeroporto Internacional de Manaus,8623
Amazonas,Aeroporto de Sófia,*,Aeroporto Internacional de Manaus,9703
Amazonas,Aeroporto Internacional de Taiwan Taoyuan,*,Aeroporto Internacional de Manaus,17561
Amazonas,Aeroporto de Barcelona-El Prat (Espanha),*,Aeroporto Internacional de Manaus,7955
Amazonas,Aeroporto de Bruxelas,*,Aeroporto Internacional de Manaus,8524
Amazonas,Aeroporto Internacional de Penang (Penang),*,Aeroporto Internacional de Manaus,17839
Amazonas,Aeroporto Internacional de Kuala Lumpur (Sepang),*,Aeroporto Internacional de Manaus,18008
Amazonas,Aeroporto Internacional de Haneda (Tóquio),*,Aeroporto Internacional de Tabatinga,15553
Amazonas,Aeroporto de Frankfurt,*,Aeroporto Internacional de Manaus,8763
