Destino,Origem,Intermerdiario,Final,Distancia,Emissão de CO2
Rio Grande do Norte,Aeroporto de Copenhague,Aeroporto Internacional de Fortaleza,Aeroporto Internacional de Natal,7423,0.26
Rio Grande do Norte,Aeroporto Internacional Hartsfield-Jackson Atlanta,Aeroporto Internacional do Recife,Aeroporto Internacional de Natal,7238,0.24
Rio Grande do Norte,Aeroporto de Frankfurt,*,Aeroporto Internacional de Natal,7482,0.26
Rio Grande do Norte,Aeroporto Internacional de Xangai Pudong,*,Aeroporto Internacional de Natal,16326,1.24
Rio Grande do Norte,Aeroporto de Praga,Aeroporto Internacional de Guarulhos,Aeroporto Internacional de Natal,12392,0.71
Rio Grande do Norte,Aeroporto Internacional de Viena,Aeroporto Internacional do Recife,Aeroporto Internacional de Natal,8273,0.32
Rio Grande do Norte,Aeroporto Internacional de Pequim Capital,*,Aeroporto Internacional de Natal,15285,1.08
Rio Grande do Norte,Aeroporto Internacional de Penang (Penang),Aeroporto Internacional do Recife,Aeroporto Internacional de Natal,15339,1.09
Rio Grande do Norte,Aeroporto de Zurique,Aeroporto Internacional do Recife,Aeroporto Internacional de Natal,7760,0.28
Rio Grande do Norte,Aeroporto Internacional de Kuala Lumpur (Sepang),Aeroporto Internacional do Recife,Aeroporto Internacional de Natal,15459,1.11
Rio Grande do Norte,Aeroporto de Milão-Malpensa,Aeroporto Internacional do Recife,Aeroporto Internacional de Natal,7634,0.27
Rio Grande do Norte,Aeroporto de Roma-Fiumicino,Aeroporto Internacional do Recife,Aeroporto Internacional de Natal,7583,0.27
