Destino,Origem,Intermerdiario,Final,Distancia,Emissão de CO2
Rio Grande do Norte,Aeroporto de Copenhague,Aeroporto Internacional de Fortaleza,Aeroporto Internacional de Natal,7423,0.23
Rio Grande do Norte,Aeroporto Internacional Hartsfield-Jackson Atlanta,Aeroporto Internacional do Recife,Aeroporto Internacional de Natal,7238,0.22
Rio Grande do Norte,Aeroporto de Frankfurt,*,Aeroporto Internacional de Natal,7482,0.23
Rio Grande do Norte,Aeroporto Internacional de Xangai Pudong,*,Aeroporto Internacional de Natal,16326,1.1
Rio Grande do Norte,Aeroporto de Praga,Aeroporto Internacional de Guarulhos,Aeroporto Internacional de Natal,12392,0.63
Rio Grande do Norte,Aeroporto Internacional de Viena,Aeroporto Internacional do Recife,Aeroporto Internacional de Natal,8273,0.28
Rio Grande do Norte,Aeroporto Internacional de Pequim Capital,*,Aeroporto Internacional de Natal,15285,0.96
Rio Grande do Norte,Aeroporto Internacional de Penang (Penang),Aeroporto Internacional do Recife,Aeroporto Internacional de Natal,15339,0.97
Rio Grande do Norte,Aeroporto de Zurique,Aeroporto Internacional do Recife,Aeroporto Internacional de Natal,7760,0.25
Rio Grande do Norte,Aeroporto Internacional de Kuala Lumpur (Sepang),Aeroporto Internacional do Recife,Aeroporto Internacional de Natal,15459,0.99
Rio Grande do Norte,Aeroporto de Milão-Malpensa,Aeroporto Internacional do Recife,Aeroporto Internacional de Natal,7634,0.24
Rio Grande do Norte,Aeroporto de Roma-Fiumicino,Aeroporto Internacional do Recife,Aeroporto Internacional de Natal,7583,0.24
