Origem,Alagoas (Hr - Cargueiro),Amapá (Hr - Cargueiro),Amazonas (Hr - Cargueiro),Bahia (Hr - Cargueiro),Ceará (Hr - Cargueiro),Distrito Federal (Hr - Cargueiro),Espírito Santo (Hr - Cargueiro),Maranhão (Hr - Cargueiro),Mato Grosso (Hr - Cargueiro),Minas Gerais (Hr - Cargueiro),Pará (Hr - Cargueiro),Paraná (Hr - Cargueiro),Pernambuco (Hr - Cargueiro),Rio de Janeiro (Hr - Cargueiro),Rio Grande do Norte (Hr - Cargueiro),Rio Grande do Sul (Hr - Cargueiro),Santa Catarina (Hr - Cargueiro),São Paulo (Hr - Cargueiro),Sergipe (Hr - Cargueiro)
Aeroporto Internacional de Nursultan Nazarbayev,14:06 ~ 14:59,14:21 ~ 15:15,15:47 ~ 16:46,14:42 ~ 15:37,13:47 ~ 14:39,15:46 ~ 16:45,15:35 ~ 16:33,14:07 ~ 15:00,16:25 ~ 17:27,15:46 ~ 16:45,14:19 ~ 15:12,16:47 ~ 17:50,13:56 ~ 14:48,16:04 ~ 17:05,13:43 ~ 14:35,17:23 ~ 18:28,16:58 ~ 18:01,16:24 ~ 17:25,14:24 ~ 15:18
Aeroporto Internacional de Xangai Pudong,19:34 ~ 20:48,19:22 ~ 20:35,19:46 ~ 21:01,20:10 ~ 21:26,19:14 ~ 20:26,21:12 ~ 22:31,21:00 ~ 22:19,19:26 ~ 20:39,21:30 ~ 22:50,21:14 ~ 22:33,19:28 ~ 20:41,22:15 ~ 23:39,19:25 ~ 20:37,21:30 ~ 22:50,19:12 ~ 20:24,22:45 ~ 24:10,22:22 ~ 23:46,21:51 ~ 23:13,19:52 ~ 21:07
Aeroporto Internacional de Pequim Capital,18:22 ~ 19:31,18:06 ~ 19:14,18:44 ~ 19:54,18:58 ~ 20:09,17:58 ~ 19:05,19:55 ~ 21:10,19:53 ~ 21:08,18:09 ~ 19:17,20:15 ~ 21:31,20:02 ~ 21:18,18:11 ~ 19:19,21:03 ~ 22:22,18:12 ~ 19:21,20:22 ~ 21:39,17:58 ~ 19:06,21:41 ~ 23:02,21:15 ~ 22:35,20:40 ~ 21:58,18:40 ~ 19:50
Aeroporto Internacional de Pyongyang Sunan,19:02 ~ 20:14,18:24 ~ 19:33,18:39 ~ 19:48,19:38 ~ 20:52,18:33 ~ 19:42,20:24 ~ 21:40,20:36 ~ 21:53,18:36 ~ 19:46,20:27 ~ 21:43,20:41 ~ 21:59,18:33 ~ 19:42,21:37 ~ 22:58,18:53 ~ 20:04,21:04 ~ 22:23,18:37 ~ 19:47,22:17 ~ 23:40,21:54 ~ 23:16,21:18 ~ 22:37,19:20 ~ 20:33
Aeroporto Internacional de Incheon,19:16 ~ 20:29,18:38 ~ 19:48,18:50 ~ 20:00,19:52 ~ 21:07,18:47 ~ 19:58,20:38 ~ 21:56,20:50 ~ 22:08,18:51 ~ 20:02,20:40 ~ 21:57,20:55 ~ 22:14,18:47 ~ 19:58,21:52 ~ 23:14,19:07 ~ 20:19,21:18 ~ 22:38,18:52 ~ 20:03,22:31 ~ 23:56,22:08 ~ 23:31,21:32 ~ 22:53,19:34 ~ 20:48
Aeroporto Internacional Ninoy Aquino,20:30 ~ 21:47,21:23 ~ 22:43,21:48 ~ 23:10,20:56 ~ 22:14,20:34 ~ 21:51,22:09 ~ 23:32,21:06 ~ 22:26,21:05 ~ 22:25,23:12 ~ 24:39,21:29 ~ 22:49,21:21 ~ 22:42,21:42 ~ 23:03,20:22 ~ 21:38,21:18 ~ 22:38,20:18 ~ 21:34,21:18 ~ 22:38,21:24 ~ 22:45,21:37 ~ 22:58,20:44 ~ 22:01
Aeroporto Internacional de Hong Kong,19:22 ~ 20:35,20:03 ~ 21:18,21:03 ~ 22:22,19:53 ~ 21:08,19:18 ~ 20:31,21:10 ~ 22:29,20:24 ~ 21:41,19:46 ~ 21:00,22:04 ~ 23:27,20:45 ~ 22:03,20:01 ~ 21:16,21:30 ~ 22:50,19:13 ~ 20:25,20:47 ~ 22:05,19:06 ~ 20:18,21:32 ~ 22:53,21:22 ~ 22:42,21:11 ~ 22:31,19:38 ~ 20:52
Aeroporto Internacional Indira Gandhi,14:57 ~ 15:54,16:05 ~ 17:05,17:56 ~ 19:03,15:29 ~ 16:27,14:57 ~ 15:53,16:45 ~ 17:48,16:05 ~ 17:06,15:31 ~ 16:29,17:43 ~ 18:49,16:24 ~ 17:25,15:54 ~ 16:54,17:19 ~ 18:24,14:48 ~ 15:44,16:32 ~ 17:34,14:42 ~ 15:37,17:41 ~ 18:48,17:20 ~ 18:25,16:56 ~ 18:00,15:13 ~ 16:10
Aeroporto Internacional Soekarno-Hatta (Jacarta),18:16 ~ 19:25,20:33 ~ 21:50,22:00 ~ 23:22,18:22 ~ 19:31,18:50 ~ 20:00,19:11 ~ 20:23,18:05 ~ 19:13,19:35 ~ 20:49,19:57 ~ 21:12,18:25 ~ 19:34,20:10 ~ 21:26,18:25 ~ 19:35,18:13 ~ 19:21,18:08 ~ 19:16,18:21 ~ 19:30,18:04 ~ 19:12,18:08 ~ 19:16,18:23 ~ 19:32,18:20 ~ 19:29
Aeroporto Internacional Ngurah Rai (Bali),19:07 ~ 20:18,21:26 ~ 22:46,21:56 ~ 23:19,19:06 ~ 20:17,19:45 ~ 20:59,19:39 ~ 20:53,18:37 ~ 19:47,20:29 ~ 21:46,20:10 ~ 21:26,18:55 ~ 20:06,21:03 ~ 22:22,18:41 ~ 19:51,19:05 ~ 20:16,18:34 ~ 19:44,19:15 ~ 20:28,18:12 ~ 19:20,18:22 ~ 19:31,18:44 ~ 19:54,19:07 ~ 20:19
Aeroporto Internacional de Narita (Tóquio),20:01 ~ 21:16,18:40 ~ 19:50,18:13 ~ 19:22,20:33 ~ 21:50,19:21 ~ 20:34,20:46 ~ 22:03,21:30 ~ 22:51,19:10 ~ 20:22,20:16 ~ 21:32,21:23 ~ 22:43,18:55 ~ 20:06,21:48 ~ 23:09,19:53 ~ 21:08,21:48 ~ 23:10,19:35 ~ 20:49,22:04 ~ 23:27,22:05 ~ 23:28,21:45 ~ 23:06,20:17 ~ 21:33
Aeroporto Internacional de Haneda (Tóquio),20:02 ~ 21:17,18:42 ~ 19:53,18:17 ~ 19:26,20:34 ~ 21:51,19:23 ~ 20:36,20:49 ~ 22:07,21:32 ~ 22:53,19:12 ~ 20:24,20:19 ~ 21:36,21:25 ~ 22:46,18:58 ~ 20:09,21:51 ~ 23:13,19:54 ~ 21:08,21:51 ~ 23:13,19:36 ~ 20:50,22:08 ~ 23:31,22:09 ~ 23:32,21:48 ~ 23:10,20:18 ~ 21:34
Aeroporto Internacional de Kansai (Osaka),20:03 ~ 21:18,18:58 ~ 20:09,18:43 ~ 19:53,20:37 ~ 21:55,19:28 ~ 20:41,21:05 ~ 22:24,21:36 ~ 22:58,19:23 ~ 20:35,20:43 ~ 22:01,21:35 ~ 22:56,19:12 ~ 20:24,22:14 ~ 23:37,19:54 ~ 21:09,22:01 ~ 23:23,19:37 ~ 20:51,22:38 ~ 24:02,22:33 ~ 23:58,22:05 ~ 23:27,20:20 ~ 21:36
Aeroporto Internacional de Wattay (Vientiane),18:08 ~ 19:16,19:25 ~ 20:38,21:09 ~ 22:29,18:35 ~ 19:45,18:14 ~ 19:23,19:51 ~ 21:06,18:58 ~ 20:09,18:51 ~ 20:01,20:55 ~ 22:13,19:19 ~ 20:32,19:15 ~ 20:27,20:00 ~ 21:15,18:00 ~ 19:08,19:19 ~ 20:31,17:56 ~ 19:04,20:03 ~ 21:18,19:51 ~ 21:06,19:42 ~ 20:56,18:22 ~ 19:31
Aeroporto Internacional de Kuala Lumpur (Sepang),17:58 ~ 19:05,19:59 ~ 21:14,21:59 ~ 23:22,18:13 ~ 19:21,18:22 ~ 19:31,19:17 ~ 20:30,18:12 ~ 19:20,19:06 ~ 20:18,20:16 ~ 21:32,18:34 ~ 19:43,19:40 ~ 20:53,18:51 ~ 20:02,17:52 ~ 18:59,18:23 ~ 19:32,17:56 ~ 19:03,18:39 ~ 19:49,18:37 ~ 19:46,18:42 ~ 19:52,18:06 ~ 19:14
Aeroporto Internacional de Penang (Penang),17:50 ~ 18:57,19:45 ~ 20:59,21:47 ~ 23:09,18:08 ~ 19:16,18:11 ~ 19:19,19:15 ~ 20:27,18:11 ~ 19:19,18:55 ~ 20:06,20:16 ~ 21:33,18:33 ~ 19:43,19:27 ~ 20:40,18:55 ~ 20:06,17:44 ~ 18:50,18:24 ~ 19:33,17:46 ~ 18:53,18:46 ~ 19:57,18:42 ~ 19:52,18:44 ~ 19:55,17:59 ~ 19:07
Aeroporto Internacional de Malé,14:21 ~ 15:15,16:18 ~ 17:19,18:19 ~ 19:27,14:41 ~ 15:36,14:41 ~ 15:37,15:53 ~ 16:53,14:53 ~ 15:49,15:26 ~ 16:23,16:57 ~ 18:01,15:16 ~ 16:13,15:58 ~ 16:58,15:52 ~ 16:51,14:15 ~ 15:08,15:12 ~ 16:09,14:17 ~ 15:10,15:57 ~ 16:57,15:44 ~ 16:43,15:35 ~ 16:34,14:32 ~ 15:26
Aeroporto Internacional de Changi,18:13 ~ 19:22,20:18 ~ 21:34,22:16 ~ 23:39,18:27 ~ 19:36,18:39 ~ 19:49,19:28 ~ 20:41,18:22 ~ 19:31,19:24 ~ 20:37,20:25 ~ 21:41,18:44 ~ 19:54,19:58 ~ 21:12,18:57 ~ 20:08,18:08 ~ 19:16,18:31 ~ 19:41,18:12 ~ 19:21,18:42 ~ 19:52,18:41 ~ 19:51,18:50 ~ 20:00,18:21 ~ 19:30
Aeroporto Internacional de Suvarnabhumi,17:57 ~ 19:04,19:29 ~ 20:42,21:24 ~ 22:44,18:21 ~ 19:30,18:09 ~ 19:17,19:35 ~ 20:49,18:37 ~ 19:47,18:48 ~ 19:59,20:40 ~ 21:57,18:59 ~ 20:10,19:16 ~ 20:28,19:34 ~ 20:47,17:49 ~ 18:56,18:56 ~ 20:07,17:48 ~ 18:55,19:33 ~ 20:46,19:23 ~ 20:36,19:18 ~ 20:31,18:10 ~ 19:18
Aeroporto Internacional Don Mueang,17:56 ~ 19:03,19:28 ~ 20:41,21:22 ~ 22:42,18:20 ~ 19:29,18:07 ~ 19:15,19:34 ~ 20:48,18:36 ~ 19:46,18:47 ~ 19:57,20:39 ~ 21:56,18:58 ~ 20:10,19:14 ~ 20:26,19:33 ~ 20:47,17:48 ~ 18:55,18:55 ~ 20:06,17:47 ~ 18:53,19:33 ~ 20:46,19:23 ~ 20:36,19:18 ~ 20:30,18:08 ~ 19:17
Aeroporto Internacional de Taiwan Taoyuan,20:00 ~ 21:15,20:07 ~ 21:22,20:33 ~ 21:50,20:34 ~ 21:51,19:47 ~ 21:01,21:45 ~ 23:07,21:14 ~ 22:34,20:05 ~ 21:20,22:16 ~ 23:39,21:33 ~ 22:53,20:11 ~ 21:27,22:25 ~ 23:49,19:50 ~ 21:05,21:40 ~ 23:01,19:40 ~ 20:54,22:27 ~ 23:51,22:18 ~ 23:42,22:04 ~ 23:27,20:17 ~ 21:33
Aeroporto Internacional de Tan Son Nhat,18:43 ~ 19:53,20:20 ~ 21:36,22:12 ~ 23:36,19:04 ~ 20:16,18:57 ~ 20:08,20:16 ~ 21:32,19:13 ~ 20:25,19:38 ~ 20:51,21:19 ~ 22:39,19:36 ~ 20:49,20:06 ~ 21:21,20:01 ~ 21:16,18:35 ~ 19:45,19:28 ~ 20:41,18:35 ~ 19:45,19:52 ~ 21:06,19:48 ~ 21:02,19:49 ~ 21:04,18:54 ~ 20:05
Aeroporto Internacional de Noi Bai,18:28 ~ 19:37,19:30 ~ 20:43,21:00 ~ 22:18,18:57 ~ 20:08,18:29 ~ 19:38,20:14 ~ 21:30,19:25 ~ 20:38,19:02 ~ 20:13,21:14 ~ 22:34,19:46 ~ 21:00,19:22 ~ 20:35,20:30 ~ 21:47,18:19 ~ 19:28,19:48 ~ 21:02,18:14 ~ 19:22,20:37 ~ 21:54,20:23 ~ 21:40,20:12 ~ 21:27,18:43 ~ 19:53
Aeroporto de Frankfurt,09:12 ~ 09:46,09:17 ~ 09:51,10:50 ~ 11:31,09:48 ~ 10:25,08:47 ~ 09:20,10:45 ~ 11:26,10:45 ~ 11:26,09:03 ~ 09:37,11:20 ~ 12:03,10:52 ~ 11:33,09:14 ~ 09:48,11:52 ~ 12:36,09:03 ~ 09:36,11:14 ~ 11:56,08:48 ~ 09:21,12:31 ~ 13:18,12:05 ~ 12:51,11:30 ~ 12:13,09:30 ~ 10:05
Aeroporto de Dublin,08:46 ~ 09:19,08:29 ~ 09:00,09:51 ~ 10:28,09:21 ~ 09:56,08:15 ~ 08:46,10:10 ~ 10:48,10:20 ~ 10:59,08:24 ~ 08:55,10:36 ~ 11:16,10:23 ~ 11:02,08:29 ~ 09:01,11:21 ~ 12:03,08:37 ~ 09:10,10:47 ~ 11:28,08:21 ~ 08:52,12:00 ~ 12:45,11:36 ~ 12:20,11:00 ~ 11:41,09:04 ~ 09:38
Aeroporto de Varsóvia Chopin,10:11 ~ 10:49,10:20 ~ 10:59,11:53 ~ 12:38,10:47 ~ 11:27,09:48 ~ 10:24,11:47 ~ 12:31,11:43 ~ 12:27,10:05 ~ 10:43,12:23 ~ 13:09,11:51 ~ 12:35,10:17 ~ 10:55,12:52 ~ 13:40,10:01 ~ 10:39,12:12 ~ 12:58,09:47 ~ 10:24,13:30 ~ 14:20,13:04 ~ 13:53,12:29 ~ 13:16,10:29 ~ 11:08
Aeroporto de Oslo-Gardermoen,10:14 ~ 10:53,10:00 ~ 10:37,11:19 ~ 12:02,10:50 ~ 11:31,09:45 ~ 10:21,11:41 ~ 12:25,11:49 ~ 12:33,09:55 ~ 10:32,12:08 ~ 12:53,11:53 ~ 12:37,10:01 ~ 10:38,12:51 ~ 13:39,10:05 ~ 10:43,12:16 ~ 13:02,09:49 ~ 10:26,13:30 ~ 14:21,13:06 ~ 13:55,12:30 ~ 13:17,10:32 ~ 11:12
Aeroporto de Roma-Fiumicino,08:46 ~ 09:19,09:12 ~ 09:46,10:57 ~ 11:38,09:22 ~ 09:57,08:27 ~ 08:59,10:26 ~ 11:05,10:16 ~ 10:55,08:50 ~ 09:23,11:08 ~ 11:50,10:26 ~ 11:05,09:05 ~ 09:40,11:27 ~ 12:10,08:36 ~ 09:09,10:46 ~ 11:26,08:23 ~ 08:55,12:04 ~ 12:50,11:39 ~ 12:23,11:04 ~ 11:46,09:04 ~ 09:38
Aeroporto de Milão-Malpensa,08:49 ~ 09:22,09:04 ~ 09:38,10:43 ~ 11:23,09:25 ~ 10:01,08:27 ~ 08:59,10:26 ~ 11:05,10:22 ~ 11:01,08:46 ~ 09:19,11:04 ~ 11:46,10:30 ~ 11:09,08:59 ~ 09:33,11:30 ~ 12:14,08:40 ~ 09:12,10:51 ~ 11:31,08:26 ~ 08:57,12:08 ~ 12:54,11:43 ~ 12:27,11:08 ~ 11:49,09:07 ~ 09:42
Aeroporto de Praga,09:34 ~ 10:10,09:43 ~ 10:20,11:18 ~ 12:01,10:10 ~ 10:48,09:11 ~ 09:45,11:10 ~ 11:52,11:07 ~ 11:49,09:28 ~ 10:04,11:46 ~ 12:30,11:14 ~ 11:57,09:40 ~ 10:16,12:15 ~ 13:01,09:25 ~ 10:00,11:36 ~ 12:19,09:10 ~ 09:45,12:53 ~ 13:42,12:28 ~ 13:15,11:52 ~ 12:37,09:52 ~ 10:29
