Origem,Recife - Guararapes (Hr - Cargueiro),Salvador - Dpt. Magalhães (Hr - Cargueiro),Natal - Gov. Alves (Hr - Cargueiro),São Luiz - Mar. Cunha (Hr - Cargueiro),Fortaleza - Martins (Hr - Cargueiro)
Aeroporto Internacional de Guarulhos,,,,,02:44 ~ 02:55
Aeroporto Internacional Guararapes - Gilberto Freyre,,,,,00:44 ~ 00:46
Aeroporto Internacional Deputado Luís Eduardo Magalhães,,,,,01:11 ~ 01:15
Aeroporto Internacional Governador Aluízio Alves,,,,,00:30 ~ 00:31
Aeroporto Internacional Marechal Cunha Machado,,,,,00:45 ~ 00:48
Aeroporto Internacional Pinto Martins,,,,,00:00 ~ 00:00
Aeroporto Internacional de Nursultan Nazarbayev,,,,,13:47 ~ 14:39
Aeroporto Internacional de Xangai Pudong,,,,,19:14 ~ 20:26
Aeroporto Internacional de Pequim Capital,,,,,17:58 ~ 19:05
Aeroporto Internacional de Pyongyang Sunan,,,,,18:33 ~ 19:42
Aeroporto Internacional de Incheon,,,,,18:47 ~ 19:58
Aeroporto Internacional Ninoy Aquino,,,,,20:34 ~ 21:51
Aeroporto Internacional de Hong Kong,,,,,19:18 ~ 20:31
Aeroporto Internacional Indira Gandhi,,,,,14:57 ~ 15:53
Aeroporto Internacional Soekarno-Hatta (Jacarta),,,,,18:50 ~ 20:00
Aeroporto Internacional Ngurah Rai (Bali),,,,,19:45 ~ 21:00
Aeroporto Internacional de Narita (Tóquio),,,,,19:21 ~ 20:34
Aeroporto Internacional de Haneda (Tóquio),,,,,19:23 ~ 20:36
Aeroporto Internacional de Kansai (Osaka),,,,,19:28 ~ 20:41
Aeroporto Internacional de Wattay (Vientiane),,,,,18:14 ~ 19:23
Aeroporto Internacional de Kuala Lumpur (Sepang),,,,,18:22 ~ 19:31
Aeroporto Internacional de Penang (Penang),,,,,18:11 ~ 19:19
Aeroporto Internacional de Malé,,,,,14:41 ~ 15:37
Aeroporto Internacional de Changi,,,,,18:39 ~ 19:49
Aeroporto Internacional de Suvarnabhumi,,,,,18:09 ~ 19:17
Aeroporto Internacional Don Mueang,,,,,18:07 ~ 19:15
Aeroporto Internacional de Taiwan Taoyuan,,,,,19:47 ~ 21:01
Aeroporto Internacional de Tan Son Nhat,,,,,18:57 ~ 20:08
Aeroporto Internacional de Noi Bai,,,,,18:29 ~ 19:38
Aeroporto de Frankfurt,,,,,08:47 ~ 09:20
Aeroporto de Dublin,,,,,08:15 ~ 08:46
