InputID,TargetID,Distance m,Distance km
1,2,"2095311,018",2095
1,3,"1447671,054",1448
1,4,"2294472,696",2294
1,5,"2318469,794",2318
1,6,"2336868,928",2337
1,7,"13940690,73",13941
1,8,"18581460,51",18581
1,9,"17577749,61",17578
1,10,"18105533,04",18106
1,11,"18311817,85",18312
1,12,"18378256,91",18378
1,13,"18017517,27",18018
1,14,"14403063,75",14403
1,15,"15633402,75",15633
1,16,"15929258,44",15929
1,17,"18489605,2",18490
1,18,"18534777,29",18535
1,19,"18773408,11",18773
1,20,"16756454,59",16756
1,21,"15904700,2",15905
1,22,"15936961,18",15937
1,23,"13257580,95",13258
1,24,"16008541,9",16009
1,25,"16416781,73",16417
1,26,"16411756,65",16412
1,27,"18769349,88",18769
1,28,"16854948,94",16855
1,29,"17171012,52",17171
1,30,"9776052,975",9776
1,31,"9355304,915",9355
1,32,"10615237,74",10615
1,33,"10627161,07",10627
1,34,"9413794,682",9414
1,35,"9464125,818",9464
1,36,"10097938,65",10098
1,37,"9435841,617",9436
1,38,"9421087,843",9421
1,39,"10230288,83",10230
1,40,"9751263,688",9751
1,41,"11133333,56",11133
1,42,"10535805,18",10536
1,43,"9586953,233",9587
1,44,"10899724,72",10900
1,45,"10140636,59",10141
1,46,"11766760,63",11767
1,47,"11519552,33",11520
1,48,"10524529,48",10525
1,49,"7909451,2",7909
1,50,"8154372,676",8154
1,51,"9173820,884",9174
1,52,"9619424,112",9619
1,53,"11001259,11",11001
1,54,"11049030,78",11049
1,55,"9899108,498",9899
1,56,"8742366,199",8742
1,57,"8889276,966",8889
1,58,"10105205,93",10105
1,59,"9628263,59",9628
1,60,"10232322,2",10232
1,61,"10148926,61",10149
1,62,"9852568,647",9853
1,63,"8355474,799",8355
1,64,"8742887,906",8743
1,65,"11222483,18",11222
1,66,"10097221,27",10097
1,67,"11277058,81",11277
1,68,"850968,8691",851
1,69,"1353424,883",1353
1,70,"2449410,102",2449
1,71,"3077815,995",3078
1,72,"2688483,763",2688
1,73,"2643631,025",2644
1,74,"2336717,375",2337
1,75,"1960755,171",1961
1,76,"1704520,214",1705
1,77,"538425,2553",538
1,78,"343936,4933",344
1,79,"338131,6941",338
1,80,"729567,9502",730
1,81,"65036,40313",65
1,82,"147042,2409",147
1,83,"340171,9438",340
1,84,"513699,5157",514
1,85,"444060,3911",444
1,86,"864014,2367",864
2,1,"2095311,018",2095
2,3,"647642,282",648
2,4,"262524,2709",263
2,5,"1198705,928",1199
2,6,"625015,3754",625
2,7,"11852340,12",11852
2,8,"16505803,73",16506
2,9,"15482907,3",15483
2,10,"16057246,17",16057
2,11,"16257403,62",16257
2,12,"17316159,4",17316
2,13,"16343298,8",16343
2,14,"12593747,82",12594
2,15,"15485674,98",15486
2,16,"16222714,16",16223
2,17,"16906650,84",16907
2,18,"16919808,84",16920
2,19,"16923855,63",16924
2,20,"15306665,83",15307
2,21,"15195817,21",15196
2,22,"15076324,49",15076
2,23,"12114144,03",12114
2,24,"15420007,23",15420
2,25,"15156767,42",15157
2,26,"15139916,4",15140
2,27,"16871950,63",16872
2,28,"15808615,42",15809
2,29,"15576496,8",15576
2,30,"7692840,88",7693
2,31,"7337245,109",7337
2,32,"8523020,932",8523
2,33,"8584876,142",8585
2,34,"7319841,347",7320
2,35,"7371130,253",7371
2,36,"8007293,451",8007
2,37,"7382270,889",7382
2,38,"7364978,589",7365
2,39,"8135009,257",8135
2,40,"7684971,787",7685
2,41,"9038688,855",9039
2,42,"8468538,139",8469
2,43,"7497256,808",7497
2,44,"8838565,404",8839
2,45,"8048099,116",8048
2,46,"9673279,754",9673
2,47,"9441694,871",9442
2,48,"8438005,092",8438
2,49,"5837194,992",5837
2,50,"6089272,245",6089
2,51,"7099686,698",7100
2,52,"7539416,99",7539
2,53,"8910926,214",8911
2,54,"8966498,843",8966
2,55,"7814066,905",7814
2,56,"6649726,24",6650
2,57,"6802070,863",6802
2,58,"8010416,18",8010
2,59,"7556876,621",7557
2,60,"8148375,836",8148
2,61,"8053993,624",8054
2,62,"7757364,263",7757
2,63,"6270817,463",6271
2,64,"6650261,203",6650
2,65,"9149073,44",9149
2,66,"8140118,687",8140
2,67,"9207933,402",9208
2,68,"1654606,114",1655
2,69,"2484280,886",2484
2,70,"1678132,407",1678
2,71,"3510037,595",3510
2,72,"2839138,297",2839
2,73,"2006267,344",2006
2,74,"625664,2721",626
2,75,"135547,9345",136
2,76,"391130,8357",391
2,77,"1557022,164",1557
2,78,"1858465,068",1858
2,79,"1852647,277",1853
2,80,"1461561,08",1462
2,81,"2038002,658",2038
2,82,"2167262,275",2167
2,83,"2425216,414",2425
2,84,"2595837,05",2596
2,85,"2535194,813",2535
2,86,"2955657,766",2956
3,1,"1447671,054",1448
3,2,"647642,282",648
3,4,"858498,7026",858
3,5,"1313144,256",1313
3,6,"1010624,047",1011
3,7,"12498168,03",12498
3,8,"17150456,87",17150
3,9,"16130425,17",16130
3,10,"16695931,07",16696
3,11,"16897634,59",16898
3,12,"17795270,34",17795
3,13,"16913215,67",16913
3,14,"13164661,94",13165
3,15,"15621261,92",15621
3,16,"16238586,5",16239
3,17,"17469277,53",17469
3,18,"17488978,88",17489
3,19,"17534611,85",17535
3,20,"15806760,02",15807
3,21,"15493173,12",15493
3,22,"15414406,49",15414
3,23,"12491462,76",12491
3,24,"15687999,21",15688
3,25,"15605677,49",15606
3,26,"15591619,63",15592
3,27,"17491422,97",17491
3,28,"16216070,97",16216
3,29,"16115827,79",16116
3,30,"8336393,676",8336
3,31,"7959056,18",7959
3,32,"9169607,355",9170
3,33,"9215501,099",9216
