Destino,Aeroporto Nacional,Origem
São Paulo,Aeroporto Internacional de Viracopos,China
São Paulo,Aeroporto Internacional de Guarulhos,China
São Paulo,Aeroporto Internacional de Viracopos,Alemanha
São Paulo,Aeroporto Internacional de Viracopos,Alemanha
Santa Catarina,Aeroporto Internacional de Guarulhos,Hong Kong
Santa Catarina,Aeroporto Internacional de Guarulhos,China
Minas Gerais,Aeroporto Internacional de Guarulhos,China
São Paulo,Aeroporto Internacional de Viracopos,Irlanda
São Paulo,Aeroporto Internacional de Viracopos,Irlanda
São Paulo,Aeroporto Internacional de Guarulhos,Taiwan (Formosa)
São Paulo,Aeroporto Internacional de Guarulhos,Alemanha
São Paulo,Aeroporto Internacional de Guarulhos,Alemanha
São Paulo,Aeroporto Internacional de Viracopos,Taiwan (Formosa)
Santa Catarina,Aeroporto Internacional de Viracopos,Alemanha
Santa Catarina,Aeroporto Internacional de Viracopos,Alemanha
Santa Catarina,Aeroporto Internacional de Viracopos,China
São Paulo,Aeroporto Internacional de Guarulhos,Malásia
Amazonas,Aeroporto Internacional de Manaus,China
Paraná,Aeroporto Internacional de Curitiba,China
São Paulo,Aeroporto Internacional de Viracopos,Polônia
São Paulo,Aeroporto Internacional de Viracopos,Polônia
Minas Gerais,Aeroporto Internacional de Viracopos,China
Rio de Janeiro,Aeroporto Internacional do Rio de Janeiro,Noruega
São Paulo,Aeroporto Internacional de Guarulhos,Itália
São Paulo,Aeroporto Internacional de Guarulhos,Itália
São Paulo,Aeroporto Internacional de Viracopos,República Tcheca
São Paulo,Aeroporto Internacional de Viracopos,República Tcheca
São Paulo,Aeroporto Internacional de Guarulhos,Polônia
São Paulo,Aeroporto Internacional de Guarulhos,Polônia
São Paulo,Aeroporto Internacional de Guarulhos,Irlanda
São Paulo,Aeroporto Internacional de Guarulhos,Irlanda
São Paulo,Aeroporto Internacional de Viracopos,Reino Unido
Espírito Santo,Aeroporto Internacional de Viracopos,China
São Paulo,Aeroporto Internacional de Guarulhos,Hungria
São Paulo,Aeroporto Internacional de Guarulhos,Hungria
São Paulo,Aeroporto Internacional de Viracopos,Hungria
São Paulo,Aeroporto Internacional de Viracopos,Hungria
Espírito Santo,Aeroporto Internacional de Viracopos,Malásia
São Paulo,Aeroporto Internacional de Viracopos,Suécia
São Paulo,Aeroporto Internacional de Viracopos,Suécia
Espírito Santo,Aeroporto Internacional de Vitória,Malásia
São Paulo,Aeroporto Internacional de Guarulhos,Japão
São Paulo,Aeroporto Internacional de Guarulhos,Reino Unido
Rio de Janeiro,Aeroporto Internacional do Rio de Janeiro,China
Paraná,Aeroporto Internacional de Curitiba,Taiwan (Formosa)
Rio de Janeiro,Aeroporto Internacional do Rio de Janeiro,Taiwan (Formosa)
Santa Catarina,Aeroporto Internacional de Florianópolis,China
São Paulo,Aeroporto Internacional de Viracopos,Países Baixos (Holanda)
São Paulo,Aeroporto Internacional de Viracopos,Países Baixos (Holanda)
São Paulo,Aeroporto Internacional de Guarulhos,República Tcheca
São Paulo,Aeroporto Internacional de Guarulhos,República Tcheca
Amazonas,Aeroporto Internacional de Manaus,Coreia do Sul
Paraná,Aeroporto Internacional de Curitiba,República Tcheca
Paraná,Aeroporto Internacional de Curitiba,República Tcheca
São Paulo,Aeroporto Internacional de Viracopos,Japão
São Paulo,Aeroporto Internacional de Viracopos,Coreia do Sul
Espírito Santo,Aeroporto Internacional de Vitória,China
São Paulo,Aeroporto Internacional de Viracopos,Singapura
Bahia,Aeroporto Internacional de Salvador,China
Paraná,Aeroporto Internacional de Curitiba,Alemanha
Paraná,Aeroporto Internacional de Curitiba,Alemanha
Minas Gerais,Aeroporto Internacional de Guarulhos,Taiwan (Formosa)
Rio de Janeiro,Aeroporto Internacional do Rio de Janeiro,Alemanha
Rio de Janeiro,Aeroporto Internacional do Rio de Janeiro,Alemanha
São Paulo,Aeroporto Internacional de Viracopos,Malásia
Amazonas,Aeroporto Internacional de Manaus,Alemanha
Amazonas,Aeroporto Internacional de Manaus,Alemanha
Santa Catarina,Aeroporto Internacional de Guarulhos,Polônia
Santa Catarina,Aeroporto Internacional de Guarulhos,Polônia
São Paulo,Aeroporto Internacional de Guarulhos,Suíça
Minas Gerais,Aeroporto Internacional de Guarulhos,Países Baixos (Holanda)
Minas Gerais,Aeroporto Internacional de Guarulhos,Países Baixos (Holanda)
Rio de Janeiro,Aeroporto Internacional do Rio de Janeiro,Polônia
Rio de Janeiro,Aeroporto Internacional do Rio de Janeiro,Polônia
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Taiwan (Formosa)
São Paulo,Aeroporto Internacional de Viracopos,Itália
São Paulo,Aeroporto Internacional de Viracopos,Itália
Espírito Santo,Aeroporto Internacional de Vitória,Taiwan (Formosa)
São Paulo,Aeroporto Internacional de Guarulhos,Singapura
Rio de Janeiro,Aeroporto Internacional do Rio de Janeiro,Países Baixos (Holanda)
Rio de Janeiro,Aeroporto Internacional do Rio de Janeiro,Países Baixos (Holanda)
São Paulo,Aeroporto Internacional de Guarulhos,Bélgica
São Paulo,Aeroporto Internacional de Guarulhos,Bélgica
Paraná,Aeroporto Internacional de Curitiba,Reino Unido
Pará,Aeroporto Internacional de Belo Horizonte,Finlândia
Pará,Aeroporto Internacional de Belo Horizonte,Finlândia
Minas Gerais,Aeroporto Internacional do Rio de Janeiro,Hungria
Minas Gerais,Aeroporto Internacional do Rio de Janeiro,Hungria
Pernambuco,Aeroporto Internacional de Viracopos,China
Minas Gerais,Aeroporto Internacional de Viracopos,Irlanda
Minas Gerais,Aeroporto Internacional de Viracopos,Irlanda
São Paulo,Aeroporto Internacional de Viracopos,Tailândia
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Alemanha
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Alemanha
São Paulo,Aeroporto Internacional de Viracopos,França
São Paulo,Aeroporto Internacional de Viracopos,França
Minas Gerais,Aeroporto Internacional de Viracopos,República Tcheca
Minas Gerais,Aeroporto Internacional de Viracopos,República Tcheca
Bahia,Aeroporto Internacional de Salvador,Polônia
Bahia,Aeroporto Internacional de Salvador,Polônia
Paraná,Aeroporto Internacional de Curitiba,Hungria
Paraná,Aeroporto Internacional de Curitiba,Hungria
Espírito Santo,Aeroporto Internacional de Guarulhos,Reino Unido
São Paulo,Aeroporto Internacional de Guarulhos,França
São Paulo,Aeroporto Internacional de Guarulhos,França
Bahia,Aeroporto Internacional de Salvador,Taiwan (Formosa)
Santa Catarina,Aeroporto Internacional de Guarulhos,Alemanha
