UF do Produto,URF,Código NCM,Países,Soma quantidades,Soma Frete
Alagoas,Aeroporto Internacional de Guarulhos,84715010,Estados Unidos,10,1091
Bahia,Aeroporto Internacional de Salvador,84715020,Estados Unidos,10,1416
Pernambuco,Aeroporto Internacional de Guarulhos,84715010,China,28,92
Rio Grande do Norte,Aeroporto Internacional de Guarulhos,84715010,"Tcheca, República",2,464
Alagoas,Aeroporto Internacional do Recife,84715030,Estados Unidos,1,624
Bahia,Aeroporto Internacional de Salvador,84715010,Alemanha,10,890
Bahia,Aeroporto Internacional de Salvador,84715010,Espanha,1,17
Maranhão,Aeroporto Internacional do Rio de Janeiro,84715010,Estados Unidos,2,133
Maranhão,Aeroporto Internacional do Rio de Janeiro,84715010,Taiwan (Formosa),1,35
Paraíba,Aeroporto Internacional do Recife,84715010,Taiwan (Formosa),30,307
Paraíba,Aeroporto Internacional de Viracopos,84715010,Reino Unido,1,1
Pernambuco,Aeroporto Internacional do Recife,84715020,Alemanha,1,382
Piauí,Aeroporto Internacional de Salvador,84715010,Áustria,4,10
Rio Grande do Norte,Aeroporto Internacional de Fortaleza,84715010,Alemanha,1,4
Alagoas,Aeroporto Internacional de Salvador,84715010,México,2,280
Alagoas,Aeroporto Internacional de Guarulhos,84715010,Israel,21,299
Bahia,Aeroporto Internacional de Viracopos,84715010,Vietnã,5,188
Bahia,Aeroporto Internacional de Viracopos,84715020,Malásia,1,55
Ceará,Aeroporto Internacional de Fortaleza,84715010,Estados Unidos,2,394
Pernambuco,Aeroporto Internacional do Recife,84715020,Estados Unidos,1,91
Pernambuco,Aeroporto Internacional do Recife,84715020,México,6,871
Maranhão,Aeroporto Internacional de Viracopos,84715010,Polônia,1,829
Pernambuco,Aeroporto Internacional do Rio de Janeiro,84715010,Canadá,1,95
Pernambuco,Aeroporto Internacional do Recife,84715010,China,566,5378
Rio Grande do Norte,Aeroporto Internacional do Recife,84715010,Estados Unidos,2,694
Alagoas,Aeroporto Internacional de Guarulhos,84715010,Israel,2,19
Alagoas,Aeroporto Internacional de Guarulhos,84715020,México,16,5243
Bahia,Aeroporto Internacional de Salvador,84715010,China,266,14526
Bahia,Aeroporto Internacional de Salvador,84715010,"Tcheca, República",2,1364
Bahia,Aeroporto Internacional de Salvador,84715020,"Tcheca, República",2,1166
Bahia,Aeroporto Internacional de Guarulhos,84715010,Singapura,6,2369
Bahia,Aeroporto Internacional de Guarulhos,84715020,Singapura,64,25266
Bahia,Aeroporto Internacional de Guarulhos,84715020,Suécia,5,4752
Bahia,Aeroporto Internacional de Viracopos,84715010,Hungria,1,21
Ceará,Aeroporto Internacional de Fortaleza,84715010,Polônia,20,5889
Paraíba,Aeroporto Internacional do Recife,84715010,Taiwan (Formosa),1,39
Paraíba,Aeroporto Internacional do Recife,84715010,Vietnã,1,82
Piauí,Aeroporto Internacional de Salvador,84715010,Alemanha,3,5
Rio Grande do Norte,Aeroporto Internacional de Fortaleza,84715010,Dinamarca,8,968
Bahia,Aeroporto Internacional de Salvador,84715010,Áustria,1,89
Bahia,Aeroporto Internacional de Viracopos,84715010,China,4,179
Pernambuco,Aeroporto Internacional do Recife,84715010,Itália,1,209
Pernambuco,Aeroporto Internacional de Viracopos,84715010,China,205,2008
Rio Grande do Norte,Aeroporto Internacional de Fortaleza,84715010,Alemanha,68,1431
Rio Grande do Norte,Aeroporto Internacional de Fortaleza,84715010,Dinamarca,1,120
Rio Grande do Norte,Aeroporto Internacional do Recife,84715010,México,1,169
Rio Grande do Norte,Aeroporto Internacional de Salvador,84715010,Alemanha,1,115
Bahia,Aeroporto Internacional de Salvador,84715010,China,112,2849
Bahia,Aeroporto Internacional de Viracopos,84715010,China,26,801
Ceará,Aeroporto Internacional de Fortaleza,84715010,Malásia,3,1128
Paraíba,Aeroporto Internacional do Recife,84715010,Hungria,2,837
Pernambuco,Aeroporto Internacional do Recife,84715010,China,17,1226
