Estado,Origem,Distância original,Emissão original,Distância hub,Emissão hub
Alagoas,Aeroporto Internacional de Pequim Capital,19539,101677.05,15617.0,81267.74
Alagoas,Aeroporto Internacional Hartsfield-Jackson Atlanta,7111,37004.22,6983.0,36338.14
Alagoas,Aeroporto Internacional de Xangai Pudong,20542,106896.46,16641.0,86596.44
Alagoas,Aeroporto de Frankfurt,7829,40740.55,7825.0,40719.74
Alagoas,Aeroporto de Praga,8143,42374.54,8141.0,42364.14
Bahia,Aeroporto Adolfo Suárez Madrid-Barajas,6915,35984.28,6915.0,35984.28
Bahia,Aeroporto Internacional de Tan Son Nhat,18520,96374.38,16216.0,84384.82
Bahia,Aeroporto Internacional Hartsfield-Jackson Atlanta,7099,36941.78,7099.0,36941.78
Bahia,Aeroporto de Barcelona-El Prat (Espanha),7296,37966.92,7296.0,37966.92
Bahia,Aeroporto de Frankfurt,8336,43378.88,8336.0,43378.88
Bahia,Aeroporto Internacional de Penang (Penang),17600,91586.88,15414.0,80211.37
Bahia,Aeroporto Internacional de Pequim Capital,16130,83937.29,16130.0,83937.29
Bahia,Aeroporto Internacional de Noi Bai,18836,98018.78,16116.0,83864.44
Bahia,Aeroporto Internacional de Xangai Pudong,17150,89245.17,17150.0,89245.17
Bahia,Aeroporto Internacional de Kuala Lumpur (Sepang),17564,91399.54,15493.0,80622.47
Bahia,Aeroporto Internacional de Viena,8658,45054.5,8658.0,45054.5
Bahia,Aeroporto Internacional de Changi,17457,90842.74,15688.0,81637.21
Bahia,Aeroporto de Estocolmo-Arlanda,9475,49306.0,9475.0,49306.0
Bahia,Aeroporto de Praga,8653,45028.48,8653.0,45028.48
Bahia,Aeroporto Internacional de Budapeste Ferenc Liszt,11820,61508.92,8783.0,45704.98
Bahia,Aeroporto de Milão-Malpensa,8018,41724.07,8018.0,41724.07
Bahia,Aeroporto de Copenhague,7965,41448.27,7965.0,41448.27
Bahia,Aeroporto de Varsóvia Chopin,9170,47718.85,9170.0,47718.85
