Origem,Estado,Emissão hub,Emissão original
Aeroporto Internacional de Pequim Capital,Alagoas,81267.74,101677.05
Aeroporto Internacional Hartsfield-Jackson Atlanta,Alagoas,36338.14,37004.22
Aeroporto Internacional de Xangai Pudong,Alagoas,86596.44,106896.46
Aeroporto de Frankfurt,Alagoas,40719.74,40740.55
Aeroporto de Praga,Alagoas,42364.14,42374.54
Aeroporto Adolfo Suárez Madrid-Barajas,Bahia,35984.28,35984.28
Aeroporto Internacional de Tan Son Nhat,Bahia,84384.82,96374.38
Aeroporto Internacional Hartsfield-Jackson Atlanta,Bahia,36941.78,36941.78
Aeroporto de Barcelona-El Prat (Espanha),Bahia,37966.92,37966.92
Aeroporto de Frankfurt,Bahia,43378.88,43378.88
Aeroporto Internacional de Penang (Penang),Bahia,80211.37,91586.88
Aeroporto Internacional de Pequim Capital,Bahia,83937.29,83937.29
Aeroporto Internacional de Noi Bai,Bahia,83864.44,98018.78
Aeroporto Internacional de Xangai Pudong,Bahia,89245.17,89245.17
Aeroporto Internacional de Kuala Lumpur (Sepang),Bahia,80622.47,91399.54
Aeroporto Internacional de Viena,Bahia,45054.5,45054.5
Aeroporto Internacional de Changi,Bahia,81637.21,90842.74
Aeroporto de Estocolmo-Arlanda,Bahia,49306.0,49306.0
Aeroporto de Praga,Bahia,45028.48,45028.48
Aeroporto Internacional de Budapeste Ferenc Liszt,Bahia,45704.98,61508.92
Aeroporto de Milão-Malpensa,Bahia,41724.07,41724.07
Aeroporto de Copenhague,Bahia,41448.27,41448.27
Aeroporto de Varsóvia Chopin,Bahia,47718.85,47718.85
Aeroporto de Roma-Fiumicino,Bahia,41458.67,41458.67
Aeroporto de Toulouse-Blagnac (França),Bahia,38752.7,38752.7
Aeroporto de Bratislava,Bahia,45278.26,60348.47
Aeroporto de Gatwick (Londres),Bahia,41625.2,57163.74
Aeroporto Internacional de Taiwan Taoyuan,Bahia,91019.67,91019.67
Aeroporto de Heathrow (Londres),Bahia,41713.66,57236.6
Aeroporto Internacional de Narita (Tóquio),Bahia,90905.18,90905.18
Aeroporto Internacional Don Mueang,Bahia,81137.65,81137.65
Aeroporto Internacional de Suvarnabhumi,Bahia,81210.5,81210.5
Aeroporto Internacional de Kansai (Osaka),Bahia,91248.63,91248.63
Aeroporto Internacional de Haneda (Tóquio),Bahia,91009.26,91009.26
Aeroporto de Schiphol (Amsterdã),Bahia,43311.23,43311.23
Aeroporto Internacional Hartsfield-Jackson Atlanta,Ceará,33059.74,33059.74
Aeroporto de Varsóvia Chopin,Ceará,43358.06,43358.06
Aeroporto Internacional de Penang (Penang),Ceará,80471.56,80471.56
Aeroporto Internacional de Kuala Lumpur (Sepang),Ceará,81267.74,81267.74
Aeroporto Internacional de Xangai Pudong,Ceará,85076.93,85076.93
Aeroporto Internacional de Hong Kong,Ceará,85420.38,106854.83
Aeroporto de Toulouse-Blagnac (França),Ceará,34324.26,34324.26
Aeroporto de Frankfurt,Ceará,38882.79,38882.79
Aeroporto Internacional de Pequim Capital,Ceará,79498.45,79498.45
Aeroporto de Copenhague,Ceará,36410.99,60988.54
Aeroporto de Barcelona-El Prat (Espanha),Ceará,33663.38,33663.38
Aeroporto Internacional de Budapeste Ferenc Liszt,Ceará,41536.73,65396.15
Aeroporto Internacional de Taiwan Taoyuan,Ceará,87507.1,87507.1
Aeroporto Internacional de Incheon,Ceará,83130.7,83130.7
Aeroporto Adolfo Suárez Madrid-Barajas,Ceará,31529.82,31529.82
Aeroporto de Milão-Malpensa,Ceará,37410.12,37410.12
Aeroporto de Roma-Fiumicino,Ceará,37420.53,37420.53
Aeroporto Internacional de Viena,Ceará,40803.0,40803.0
Aeroporto Internacional Hartsfield-Jackson Atlanta,Maranhão,30275.71,51309.47
Aeroporto Internacional de Taiwan Taoyuan,Maranhão,88854.88,107562.55
Aeroporto Internacional de Pequim Capital,Maranhão,80289.43,82860.11
Aeroporto de Varsóvia Chopin,Maranhão,44638.2,67592.16
Aeroporto Internacional de Xangai Pudong,Maranhão,85987.59,88438.58
Aeroporto de Zurique,Maranhão,39273.08,60296.43
Aeroporto de Frankfurt,Maranhão,40053.65,42244.45
Aeroporto de Heathrow (Londres),Paraíba,37904.48,58152.46
Aeroporto Internacional de Tan Son Nhat,Paraíba,82204.43,82828.88
Aeroporto Internacional de Noi Bai,Paraíba,80841.03,81616.4
Aeroporto Internacional de Taiwan Taoyuan,Paraíba,87444.66,88360.52
Aeroporto de Gatwick (Londres),Paraíba,37816.01,58069.2
Aeroporto Internacional de Pequim Capital,Paraíba,80112.5,81132.45
Aeroporto Internacional de Suvarnabhumi,Paraíba,78775.12,79436.01
Aeroporto Internacional de Xangai Pudong,Paraíba,85467.21,86455.93
Aeroporto Internacional de Hong Kong,Paraíba,84785.51,105121.96
Aeroporto Internacional de Budapeste Ferenc Liszt,Paraíba,41885.39,42894.92
Aeroporto Internacional de Kuala Lumpur (Sepang),Paraíba,79134.19,79638.96
Aeroporto de Frankfurt,Paraíba,39543.68,59802.07
Aeroporto Internacional Hartsfield-Jackson Atlanta,Paraíba,35890.61,36858.52
Aeroporto Internacional de Penang (Penang),Paraíba,78473.3,79014.5
Aeroporto Internacional Don Mueang,Paraíba,78686.66,79347.54
Aeroporto Internacional de Pequim Capital,Pernambuco,80570.44,80570.44
Aeroporto Internacional de Xangai Pudong,Pernambuco,85893.92,85893.92
Aeroporto Internacional Hartsfield-Jackson Atlanta,Pernambuco,36296.5,36296.5
Aeroporto de Frankfurt,Pernambuco,40032.83,40032.83
Aeroporto de Roma-Fiumicino,Pernambuco,38091.82,38091.82
Aeroporto de Zurique,Pernambuco,39012.89,39012.89
Aeroporto de Helsinque,Pernambuco,47916.59,47916.59
Aeroporto de Milão-Malpensa,Pernambuco,38357.21,38357.21
Aeroporto de Copenhague,Pernambuco,38294.76,38294.76
Aeroporto de Schiphol (Amsterdã),Pernambuco,39991.2,39991.2
Aeroporto Internacional de Hong Kong,Pernambuco,85045.7,105788.05
Aeroporto de Bruxelas,Pernambuco,39325.12,58599.99
Aeroporto Internacional de Viena,Pernambuco,41682.44,63486.36
Aeroporto Internacional de Budapeste Ferenc Liszt,Pernambuco,42332.91,42332.91
Aeroporto Internacional de Taiwan Taoyuan,Pernambuco,87798.51,87798.51
Aeroporto de Praga,Pernambuco,41666.83,41666.83
Aeroporto de Varsóvia Chopin,Pernambuco,44351.99,44351.99
Aeroporto de Toulouse-Blagnac (França),Pernambuco,35396.25,57158.54
Aeroporto Internacional de Pequim Capital,Piauí,81267.74,102603.32
Aeroporto Internacional de Viena,Piauí,42863.7,43389.28
Aeroporto Internacional de Xangai Pudong,Piauí,86934.68,107973.65
Aeroporto de Frankfurt,Piauí,40808.2,48577.47
Aeroporto Internacional de Xangai Pudong,Rio Grande do Norte,84957.24,84957.24
Aeroporto de Praga,Rio Grande do Norte,40610.46,64485.49
Aeroporto Internacional Hartsfield-Jackson Atlanta,Rio Grande do Norte,35219.32,37665.1
Aeroporto de Copenhague,Rio Grande do Norte,37030.24,38627.81
Aeroporto de Frankfurt,Rio Grande do Norte,38934.83,38934.83
Aeroporto de Zurique,Rio Grande do Norte,37951.31,40381.49
Aeroporto Internacional de Viena,Rio Grande do Norte,40667.7,43051.04
Aeroporto Internacional de Kuala Lumpur (Sepang),Rio Grande do Norte,79347.54,80445.54
Aeroporto Internacional de Penang (Penang),Rio Grande do Norte,78634.62,79821.09
Aeroporto Internacional de Pequim Capital,Rio Grande do Norte,79540.08,79540.08
Aeroporto de Roma-Fiumicino,Rio Grande do Norte,37134.32,39460.42
Aeroporto de Milão-Malpensa,Rio Grande do Norte,37316.45,39725.81
Aeroporto Internacional de Xangai Pudong,Sergipe,87923.4,105564.29
Aeroporto Internacional de Pequim Capital,Sergipe,82599.92,100344.88
