Destino,Origem,Intermerdiario,Final,Distancia,Emissão de CO2
Alagoas,Aeroporto Internacional Hartsfield-Jackson Atlanta,*,Aeroporto Internacional de Maceió,6983,36338.14
Alagoas,Aeroporto de Frankfurt,*,Aeroporto Internacional de Maceió,7825,40719.74
Alagoas,Aeroporto Internacional de Pequim Capital,*,Aeroporto Internacional de Maceió,15617,81267.74
Alagoas,Aeroporto Internacional de Xangai Pudong,*,Aeroporto Internacional de Maceió,16641,86596.44
Alagoas,Aeroporto de Praga,*,Aeroporto Internacional de Maceió,8141,42364.14
Bahia,Aeroporto de Barcelona-El Prat (Espanha),*,Aeroporto Internacional de Salvador,7296,37966.92
Bahia,Aeroporto Internacional de Kuala Lumpur (Sepang),*,Aeroporto Internacional de Salvador,15493,80622.47
Bahia,Aeroporto de Praga,*,Aeroporto Internacional de Salvador,8653,45028.48
Bahia,Aeroporto Internacional Hartsfield-Jackson Atlanta,*,Aeroporto Internacional de Salvador,7099,36941.78
Bahia,Aeroporto Internacional de Noi Bai,*,Aeroporto Internacional de Salvador,16116,83864.44
Bahia,Aeroporto Internacional de Changi,*,Aeroporto Internacional de Salvador,15688,81637.21
Bahia,Aeroporto de Estocolmo-Arlanda,*,Aeroporto Internacional de Salvador,9475,49306.0
Bahia,Aeroporto Internacional de Tan Son Nhat,*,Aeroporto Internacional de Salvador,16216,84384.82
Bahia,Aeroporto Adolfo Suárez Madrid-Barajas,*,Aeroporto Internacional de Salvador,6915,35984.28
Bahia,Aeroporto Internacional de Penang (Penang),*,Aeroporto Internacional de Salvador,15414,80211.37
Bahia,Aeroporto de Frankfurt,*,Aeroporto Internacional de Salvador,8336,43378.88
Bahia,Aeroporto Internacional de Pequim Capital,*,Aeroporto Internacional de Salvador,16130,83937.29
Bahia,Aeroporto Internacional de Xangai Pudong,*,Aeroporto Internacional de Salvador,17150,89245.17
Bahia,Aeroporto de Copenhague,*,Aeroporto Internacional de Salvador,7965,41448.27
Bahia,Aeroporto de Heathrow (Londres),*,Aeroporto Internacional de Salvador,8016,41713.66
