UF do Produto,URF,Código NCM,Países,Quantidades - (2020-2025),Frete - (2020-2025),Frete Total
Alagoas,Aeroporto Internacional de Guarulhos,84715010,Estados Unidos,10,1091,10910
Bahia,Aeroporto Internacional de Salvador,84715020,Estados Unidos,10,1416,14160
Pernambuco,Aeroporto Internacional de Guarulhos,84715010,China,28,92,2576
Rio Grande do Norte,Aeroporto Internacional de Guarulhos,84715010,"Tcheca, República",2,464,928
Alagoas,Aeroporto Internacional do Recife,84715030,Estados Unidos,1,624,624
Bahia,Aeroporto Internacional de Salvador,84715010,Alemanha,10,890,8900
Bahia,Aeroporto Internacional de Salvador,84715010,Espanha,1,17,17
Maranhão,Aeroporto Internacional do Rio de Janeiro,84715010,Estados Unidos,2,133,266
Maranhão,Aeroporto Internacional do Rio de Janeiro,84715010,Taiwan (Formosa),1,35,35
Paraíba,Aeroporto Internacional do Recife,84715010,Taiwan (Formosa),30,307,9210
Paraíba,Aeroporto Internacional de Viracopos,84715010,Reino Unido,1,1,1
Pernambuco,Aeroporto Internacional do Recife,84715020,Alemanha,1,382,382
Piauí,Aeroporto Internacional de Salvador,84715010,Áustria,4,10,40
Rio Grande do Norte,Aeroporto Internacional de Fortaleza,84715010,Alemanha,1,4,4
Alagoas,Aeroporto Internacional de Salvador,84715010,México,2,280,560
Alagoas,Aeroporto Internacional de Guarulhos,84715010,Israel,21,299,6279
Bahia,Aeroporto Internacional de Viracopos,84715010,Vietnã,5,188,940
Bahia,Aeroporto Internacional de Viracopos,84715020,Malásia,1,55,55
Ceará,Aeroporto Internacional de Fortaleza,84715010,Estados Unidos,2,394,788
Pernambuco,Aeroporto Internacional do Recife,84715020,Estados Unidos,1,91,91
Pernambuco,Aeroporto Internacional do Recife,84715020,México,6,871,5226
Maranhão,Aeroporto Internacional de Viracopos,84715010,Polônia,1,829,829
Pernambuco,Aeroporto Internacional do Rio de Janeiro,84715010,Canadá,1,95,95
Pernambuco,Aeroporto Internacional do Recife,84715010,China,566,5378,3043948
Rio Grande do Norte,Aeroporto Internacional do Recife,84715010,Estados Unidos,2,694,1388
Alagoas,Aeroporto Internacional de Guarulhos,84715010,Israel,2,19,38
Alagoas,Aeroporto Internacional de Guarulhos,84715020,México,16,5243,83888
Bahia,Aeroporto Internacional de Salvador,84715010,China,266,14526,3863916
Bahia,Aeroporto Internacional de Salvador,84715010,"Tcheca, República",2,1364,2728
Bahia,Aeroporto Internacional de Salvador,84715020,"Tcheca, República",2,1166,2332
Bahia,Aeroporto Internacional de Guarulhos,84715010,Singapura,6,2369,14214
Bahia,Aeroporto Internacional de Guarulhos,84715020,Singapura,64,25266,1617024
Bahia,Aeroporto Internacional de Guarulhos,84715020,Suécia,5,4752,23760
Bahia,Aeroporto Internacional de Viracopos,84715010,Hungria,1,21,21
Ceará,Aeroporto Internacional de Fortaleza,84715010,Polônia,20,5889,117780
Paraíba,Aeroporto Internacional do Recife,84715010,Taiwan (Formosa),1,39,39
Paraíba,Aeroporto Internacional do Recife,84715010,Vietnã,1,82,82
Piauí,Aeroporto Internacional de Salvador,84715010,Alemanha,3,5,15
Rio Grande do Norte,Aeroporto Internacional de Fortaleza,84715010,Dinamarca,8,968,7744
Bahia,Aeroporto Internacional de Salvador,84715010,Áustria,1,89,89
Bahia,Aeroporto Internacional de Viracopos,84715010,China,4,179,716
Pernambuco,Aeroporto Internacional do Recife,84715010,Itália,1,209,209
Pernambuco,Aeroporto Internacional de Viracopos,84715010,China,205,2008,411640
Rio Grande do Norte,Aeroporto Internacional de Fortaleza,84715010,Alemanha,68,1431,97308
Rio Grande do Norte,Aeroporto Internacional de Fortaleza,84715010,Dinamarca,1,120,120
Rio Grande do Norte,Aeroporto Internacional do Recife,84715010,México,1,169,169
Rio Grande do Norte,Aeroporto Internacional de Salvador,84715010,Alemanha,1,115,115
Bahia,Aeroporto Internacional de Salvador,84715010,China,112,2849,319088
Bahia,Aeroporto Internacional de Viracopos,84715010,China,26,801,20826
Ceará,Aeroporto Internacional de Fortaleza,84715010,Malásia,3,1128,3384
Paraíba,Aeroporto Internacional do Recife,84715010,Hungria,2,837,1674
Pernambuco,Aeroporto Internacional do Recife,84715010,China,17,1226,20842
Pernambuco,Aeroporto Internacional de Viracopos,84715010,China,263,3233,850279
Bahia,Aeroporto Internacional de Salvador,84715010,Alemanha,3,187,561
Bahia,Aeroporto Internacional de Salvador,84715010,Dinamarca,3,483,1449
